Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.894568681716919,1.996903896331787,7.302981853485107,1.0572876930236816,77.90376281738281,182.55984497070312,1.1334257125854492,1748.461181640625,76.57238006591797,182.19442749023438,1.1449605226516724,7081.3310546875,75.48884582519531,181.25302124023438,1.152117133140564,771.9872436523438,2.6726808547973633,2.9886322021484375,0.6204889416694641,1.1041896343231201,6.775080753189211
500,1.846814751625061,1.9931238889694214,7.6429595947265625,1.0866901874542236,5.87123966217041,87.07029724121094,5.520586967468262,8671.01953125,16.78341293334961,145.2459259033203,2.756894826889038,1408.2347412109375,5.346287250518799,87.81297302246094,5.579356670379639,12337.328125,1.353239893913269,2.1144282817840576,1.586590051651001,2.691699504852295,1029.7122280875528
1000,1.8336513042449951,1.9917755126953125,7.775272846221924,1.0952361822128296,5.44905424118042,71.83988952636719,6.376577854156494,2959.676025390625,16.600969314575195,127.30779266357422,2.9683849811553955,2747.997802734375,5.416903972625732,68.10672760009766,6.352636814117432,4130.93017578125,1.2421345710754395,1.8605583906173706,2.0305440425872803,3.3784618377685547,1898.4098166951342
1500,1.82881498336792,1.9912446737289429,7.842278957366943,1.0984270572662354,5.4249725341796875,64.51423645019531,6.875168323516846,2935.54052734375,15.277695655822754,115.0433349609375,3.2500643730163574,14076.1689453125,5.64849328994751,60.148216247558594,6.7692461013793945,13822.802734375,1.2054121494293213,1.764180302619934,2.2716617584228516,3.687455415725708,2694.6449836831116
2000,1.8257039785385132,1.990892767906189,7.889455795288086,1.1004942655563354,5.430325508117676,60.10397720336914,7.257706165313721,8850.6025390625,14.40864372253418,105.9017562866211,3.491983652114868,8257.2900390625,5.926403045654297,54.50143814086914,7.119832515716553,3866.07666015625,1.1809691190719604,1.6938599348068237,2.4742279052734375,4.0023956298828125,3522.3143228158165
2500,1.8232463598251343,1.9906091690063477,7.930327415466309,1.1021357774734497,5.4068498611450195,57.23487854003906,7.577834129333496,5055.177734375,13.753142356872559,99.15288543701172,3.6993393898010254,7708.4765625,5.963023662567139,50.43912124633789,7.543303489685059,47190.89453125,1.166688084602356,1.65015709400177,2.6437957286834717,4.256125450134277,4433.532203904324
3000,1.8226256370544434,1.9905368089675903,7.961893081665039,1.1025514602661133,5.380420207977295,55.21587371826172,7.850078105926514,6614.43017578125,13.08006477355957,94.94031524658203,3.8852131366729736,11321.0576171875,5.932063579559326,47.947166442871094,7.926756381988525,23961.525390625,1.1570998430252075,1.6205849647521973,2.7854197025299072,4.42816162109375,5361.561868594079
3500,1.822684645652771,1.9905434846878052,7.9858784675598145,1.102512001991272,5.383591651916504,53.90530014038086,8.053489685058594,18722.4921875,12.619580268859863,92.18962860107422,4.0234527587890625,6594.3564453125,5.890942573547363,46.38194274902344,8.22984504699707,7156.005859375,1.1504160165786743,1.600610375404358,2.9083354473114014,4.513471603393555,6193.581614008783
4000,1.8225131034851074,1.9905234575271606,8.002586364746094,1.102626919746399,5.3915696144104,53.181827545166016,8.18211555480957,32744.978515625,12.418747901916504,90.65421295166016,4.099391937255859,7286.59423828125,5.865206718444824,45.51282501220703,8.425020217895508,18912.63671875,1.1445366144180298,1.5827298164367676,2.9972646236419678,4.594044208526611,6778.154449612335
4500,1.8224433660507202,1.9905153512954712,8.01057243347168,1.1026735305786133,5.395419120788574,52.891448974609375,8.23990535736084,14056.029296875,12.351005554199219,90.01447296142578,4.130125045776367,3982.43603515625,5.851515293121338,45.14453887939453,8.51216983795166,50966.84375,1.141823172569275,1.5743366479873657,3.0405004024505615,4.6352386474609375,7055.606009901132
4999,1.8224331140518188,1.9905142784118652,8.012149810791016,1.1026805639266968,5.396091461181641,52.84370422363281,8.250504493713379,12986.490234375,12.34011173248291,89.89826965332031,4.135577201843262,3628.79638671875,5.848180770874023,45.077125549316406,8.528266906738281,31156.845703125,1.141330361366272,1.5728015899658203,3.0488243103027344,4.643072605133057,7108.187602804435
