epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,6.42235803604126,0.18058304488658905,,6.474733829498291,0.0
500,15.784778594970703,0.4083676338195801,,16.257606506347656,0.0
1000,16.94964599609375,0.4191923439502716,,17.579124450683594,0.0
1500,17.439878463745117,0.42291900515556335,,18.155210494995117,0.0
2000,17.770572662353516,0.4263089895248413,,18.549388885498047,0.0
2500,18.037446975708008,0.4307568073272705,,18.874305725097656,0.0
3000,18.210987091064453,0.43309327960014343,,19.087512969970703,0.0
3500,18.339374542236328,0.4347611665725708,,19.246395111083984,0.0
4000,18.429706573486328,0.43624305725097656,,19.359432220458984,0.0
4500,18.472715377807617,0.43699586391448975,,19.413511276245117,0.0
4999,18.48059844970703,0.4371276795864105,,19.42345428466797,0.0
