epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,3.9881062507629395,-0.10002972930669785,,4.017902374267578,0.0
500,23.473417282104492,0.5485522150993347,,28.94324493408203,0.0
1000,23.646888732910156,0.5671549439430237,,29.519371032714844,0.0
1500,23.915199279785156,0.5804432034492493,,30.974224090576172,0.0
2000,24.012481689453125,0.5857963562011719,,31.914140701293945,0.0
2500,24.071638107299805,0.5879158973693848,,33.01932907104492,0.0
3000,24.14879035949707,0.5859081149101257,,34.823387145996094,0.0
3500,24.06698989868164,0.5767549872398376,,36.62543869018555,0.0
4000,23.913820266723633,0.5624112486839294,,37.83758544921875,0.0
4500,23.839941024780273,0.5557611584663391,,38.03841018676758,0.0
4999,23.827251434326172,0.5546369552612305,,38.0710563659668,0.0
