epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,auto_cos_inc/current_rank,auto_cos_inc/current_target_rank,auto_cos_inc/rank_floor,auto_cos_inc/rank_start,auto_cos_inc/rank_end,auto_cos_inc/rank_warmup_steps,auto_cos_inc/auto_rank_start_final,auto_cos_inc/current_method,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.10259110480546951,13.506340026855469,0.360432893037796,,13.93431568145752,0.002999999704010574,0.02999999703921747,150,250,100,150,250,5000,,cosine_inc_closed_form,1.8688801527023315,1.9950796365737915,7.337924957275391,1.072803258895874,77.874755859375,182.54983520507812,1.133307695388794,1150.2762451171875,76.5157241821289,182.20779418945312,1.1452022790908813,3833.341064453125,75.48474884033203,181.2825927734375,1.1517854928970337,597.5103759765625,1.8438125848770142,2.732680082321167,0.9155458807945251,1.6056042909622192,10.042804871574631
500,0.004647903610020876,20.493133544921875,0.45902779698371887,,23.264625549316406,0.0029263178201258035,0.02926295708101175,152,250,100,150,250,5000,,cosine_inc_closed_form,1.589908242225647,1.9338312149047852,15.648515701293945,1.301990270614624,68.96932220458984,171.07748413085938,1.585588812828064,669.1527099609375,66.91818237304688,169.1575927734375,1.59685218334198,819.0994262695312,59.540191650390625,169.12057495117188,1.5496160984039307,677.6047973632812,1.2263466119766235,1.7235711812973022,6.240807056427002,6.177969932556152,383.17160205780095
1000,0.003441549837589264,21.167814254760742,0.46748530864715576,,24.64533233642578,0.0027130669537502256,0.027129808451334846,160,250,100,150,250,5000,,cosine_inc_closed_form,1.5956511497497559,1.9361218214035034,17.599763870239258,1.295698642730713,62.274898529052734,152.87252807617188,2.26556658744812,147142.96875,61.32988357543945,151.11138916015625,2.2500803470611572,11342.9013671875,47.50737762451172,145.32864379882812,2.1114485263824463,2244.01220703125,1.1754087209701538,1.5952613353729248,7.5414605140686035,7.893580436706543,1428.6230685455257
1500,0.006339956074953079,19.78914451599121,0.4500063955783844,,22.01319694519043,0.002381121585490829,0.023809358600580043,171,250,100,150,250,5000,,cosine_inc_closed_form,1.6229652166366577,1.9462696313858032,20.77419662475586,1.2669751644134521,58.87314987182617,146.05914306640625,2.6802663803100586,11590.5302734375,60.743919372558594,145.4272918701172,2.590916872024536,8929.5546875,44.04473114013672,137.24041748046875,2.4309329986572266,747.1080322265625,1.171095609664917,1.6026442050933838,10.325529098510742,6.768615245819092,3621.1038464805447
2000,0.004293295554816723,20.71938705444336,0.46081066131591797,,23.696735382080078,0.0019629748407922155,0.01962663629507368,185,250,100,150,250,5000,,cosine_inc_closed_form,1.6218892335891724,1.945892572402954,20.828144073486328,1.2680708169937134,58.887420654296875,146.11500549316406,2.990863800048828,1056.099365234375,56.563148498535156,144.662353515625,2.9546544551849365,1018.348388671875,41.201114654541016,132.63043212890625,2.684659242630005,2776.658935546875,1.1865185499191284,1.6328179836273193,10.495121002197266,6.901074409484863,5185.976289659896
2500,0.003574114991351962,21.08071517944336,0.4658130705356598,,24.44537925720215,0.0014995578364251723,0.014991075536818636,200,250,100,150,250,5000,,cosine_inc_closed_form,1.6217756271362305,1.945852518081665,20.8526554107666,1.2681865692138672,58.0161018371582,145.76553344726562,3.378053903579712,3781.706298828125,54.83600616455078,142.04344177246094,3.316415548324585,894.0364990234375,37.69676971435547,125.35145568847656,2.9997076988220215,2206.45751953125,1.1810591220855713,1.6162012815475464,10.747264862060547,7.233282566070557,7531.366361124577
3000,0.003232388524338603,21.300031661987305,0.46959319710731506,,24.9338436126709,0.0010362330575932738,0.010356437310683876,215,250,100,150,250,5000,,cosine_inc_closed_form,1.6208741664886475,1.9455350637435913,20.8951473236084,1.2691068649291992,57.308414459228516,144.91709899902344,3.674299478530884,4019.172607421875,52.802486419677734,139.40118408203125,3.630765676498413,2635.112060546875,36.92653274536133,119.83383178710938,3.1808793544769287,8686.337890625,1.1737840175628662,1.5941085815429688,10.981871604919434,7.720357418060303,9737.372161816049
3500,0.0029775064904242754,21.438617706298828,0.47213292121887207,,25.257112503051758,0.000618353961822141,0.00617639229766675,229,250,100,150,250,5000,,cosine_inc_closed_form,1.6206483840942383,1.9454553127288818,20.92698860168457,1.2693376541137695,57.52168273925781,144.20932006835938,3.8411643505096436,646.879150390625,51.723876953125,137.51023864746094,3.837641716003418,5537.36962890625,35.846927642822266,116.1851577758789,3.337578773498535,14055.130859375,1.1705312728881836,1.5832304954528809,11.191544532775879,8.040508270263672,11522.73583501599
4000,0.002842927584424615,21.521339416503906,0.47348085045814514,,25.462827682495117,0.0002868254665407142,0.0028601124277275675,240,250,100,150,250,5000,,cosine_inc_closed_form,1.620876431465149,1.9455357789993286,20.947689056396484,1.2691045999526978,57.7038688659668,143.74212646484375,3.9319958686828613,1050.0313720703125,51.49638748168945,136.4535369873047,3.945838451385498,4094.028076171875,35.064064025878906,114.03038787841797,3.4462461471557617,1936.9747314453125,1.1682758331298828,1.5766321420669556,11.349848747253418,8.195786476135254,12712.320676828902
4500,0.002786970231682062,21.55583953857422,0.47426939010620117,,25.548837661743164,7.409989076198911e-05,0.00073221828041645,248,250,100,150,250,5000,,cosine_inc_closed_form,1.621185064315796,1.9456446170806885,20.95783233642578,1.2687891721725464,57.79885482788086,143.5579376220703,3.9674811363220215,1083.379638671875,51.43513488769531,136.05552673339844,3.989017963409424,47921.3359375,34.75093078613281,113.12335968017578,3.4945313930511475,1687.6312255859375,1.167777419090271,1.575488567352295,11.453094482421875,8.203071594238281,13275.13706975698
4999,0.002777176909148693,21.561691284179688,0.4743611514568329,,25.563966751098633,1e-06,1e-06,250,250,100,150,250,5000,,cosine_inc_closed_form,1.6212230920791626,1.9456582069396973,20.959819793701172,1.268750548362732,57.82511901855469,143.53076171875,3.9725377559661865,1005.2265625,51.42638397216797,135.99073791503906,3.9958767890930176,12448.8154296875,34.713951110839844,112.97916412353516,3.501903533935547,1659.3359375,1.1672717332839966,1.5742456912994385,11.4927978515625,8.2175874710083,13390.525252638314
