Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8750540018081665,1.9955613613128662,5.171485424041748,1.069011926651001,76.51575469970703,182.28758239746094,0.07020816206932068,438.4130554199219,77.59632873535156,182.56663513183594,0.06969190388917923,578.1773071289062,77.69397735595703,181.54156494140625,0.06918252259492874,554.8867797851562,1.0032005310058594,1.024014949798584,0.9032906889915466,25.521671295166016,4048.0804095492313
500,1.831278681755066,1.991517424583435,6.290440082550049,1.096798062324524,51.06883239746094,158.88673400878906,0.38160547614097595,1462.9871826171875,26.717451095581055,157.6275634765625,0.6621526479721069,16599.998046875,48.89097213745117,155.42495727539062,1.0369954109191895,12540.041015625,1.2638497352600098,1.9082151651382446,0.36996692419052124,3.337904214859009,1561109.7898106317
1000,1.8311907052993774,1.9915077686309814,6.291459083557129,1.0968561172485352,55.91670608520508,162.82168579101562,0.3490200936794281,978.7774047851562,29.68300437927246,159.1532440185547,0.6184368133544922,3576.552490234375,53.082725524902344,162.12156677246094,1.0953116416931152,18851.14453125,1.3517283201217651,2.1034626960754395,0.3648934066295624,2.802699089050293,1389443.2905919855
1500,1.8311432600021362,1.9915026426315308,6.292632579803467,1.0968873500823975,59.02149200439453,165.8729705810547,0.32346057891845703,3049.043212890625,31.555599212646484,159.68353271484375,0.5966554284095764,11464.7587890625,58.655879974365234,165.56858825683594,1.1229654550552368,25830.083984375,1.348720669746399,2.0985734462738037,0.3712548613548279,2.8018581867218018,1296151.7223530116
2000,1.8312182426452637,1.9915107488632202,6.294833660125732,1.0968378782272339,60.96807098388672,167.7250213623047,0.30654433369636536,945.8424072265625,32.47530746459961,159.92318725585938,0.5883484482765198,746.7879638671875,61.23947525024414,167.11207580566406,1.1589094400405884,25728.193359375,1.348419189453125,2.0959646701812744,0.37672069668769836,2.828577756881714,1268881.630096989
2500,1.8312479257583618,1.9915142059326172,6.295742988586426,1.0968183279037476,62.08940124511719,168.72933959960938,0.2961992025375366,399.0307312011719,33.01249313354492,159.8216552734375,0.5850988030433655,12553.4052734375,63.09666442871094,168.0889129638672,1.181506633758545,206034.484375,1.3627675771713257,2.124803304672241,0.38152992725372314,2.759655475616455,1259113.3380257315
3000,1.831274151802063,1.9915169477462769,6.295920372009277,1.0968010425567627,62.80491638183594,169.02479553222656,0.2901632785797119,449.8200378417969,32.906898498535156,159.69686889648438,0.5882869958877563,1148.6888427734375,64.50984191894531,168.66998291015625,1.1885786056518555,41355.4375,1.3880114555358887,2.1721458435058594,0.3844091296195984,2.6632466316223145,1257049.8260327221
3500,1.8312822580337524,1.9915180206298828,6.2960991859436035,1.0967957973480225,63.374141693115234,169.19003295898438,0.2874031066894531,1126.9014892578125,32.96806335449219,159.60916137695312,0.5895822644233704,1761.8468017578125,64.87854766845703,168.916259765625,1.1901925802230835,1187914.125,1.4008140563964844,2.1954562664031982,0.39106011390686035,2.615125894546509,1271183.2347324996
4000,1.8313522338867188,1.9915255308151245,6.296203136444092,1.0967495441436768,63.78746032714844,169.31883239746094,0.28514906764030457,1178.8309326171875,32.99433517456055,159.6552276611328,0.5892298221588135,19103.79296875,64.41966247558594,168.74317932128906,1.1826175451278687,24527.24609375,1.4115160703659058,2.2147512435913086,0.3942652940750122,2.5738282203674316,1262723.4298371107
4500,1.8313654661178589,1.9915270805358887,6.296222686767578,1.09674072265625,63.8448371887207,169.34466552734375,0.284645676612854,595.3400268554688,32.99357223510742,159.63778686523438,0.5892776250839233,40179.98046875,64.30384063720703,168.89122009277344,1.1842488050460815,34799.01171875,1.4166743755340576,2.2241127490997314,0.39516329765319824,2.552441358566284,1265214.4531198388
4999,1.8313639163970947,1.9915268421173096,6.296229362487793,1.096741795539856,63.88613510131836,169.38165283203125,0.2846178412437439,675.25048828125,32.9908332824707,159.6345977783203,0.5893310308456421,46221.73828125,64.18455505371094,168.8792266845703,1.1863362789154053,25353.2890625,1.4180526733398438,2.226661205291748,0.3953545093536377,2.546177864074707,1268050.189940703
