epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,auto_cos_inc/current_rank,auto_cos_inc/current_target_rank,auto_cos_inc/rank_floor,auto_cos_inc/rank_start,auto_cos_inc/rank_end,auto_cos_inc/rank_warmup_steps,auto_cos_inc/auto_rank_start_final,auto_cos_inc/current_method,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.19250641763210297,9.200332641601562,0.02132348157465458,,9.409581184387207,0.002999999704010574,0.02999999703921747,150,250,100,150,250,5000,,cosine_inc_closed_form,1.89066481590271,1.9966566562652588,7.295135974884033,1.05960214138031,77.9028549194336,182.55392456054688,1.1331127882003784,1038.4473876953125,76.53118133544922,182.20640563964844,1.1450729370117188,8469.1865234375,75.45883178710938,181.2867431640625,1.1523613929748535,641.5184326171875,1.7423408031463623,2.6547062397003174,0.7575603723526001,1.7055134773254395,1322103.9844645269
500,0.002967189997434616,20.770793914794922,0.40397217869758606,,24.720678329467773,0.0029263178201258035,0.02926295708101175,152,250,100,150,250,5000,,cosine_inc_closed_form,1.8960357904434204,1.996994137763977,7.987432479858398,1.0564217567443848,77.564453125,182.07882690429688,1.144648551940918,28916.091796875,74.37737274169922,181.21275329589844,1.1337547302246094,27492.33984375,68.63951110839844,175.27581787109375,1.1295490264892578,576.2975463867188,1.439669132232666,2.0945684909820557,0.6892213225364685,4.022691249847412,1291166.4962476552
1000,0.0021747425198554993,21.04155731201172,0.4265608787536621,,25.908435821533203,0.0027130669537502256,0.027129808451334846,160,250,100,150,250,5000,,cosine_inc_closed_form,1.8974653482437134,1.9970808029174805,8.14936351776123,1.0555800199508667,76.19644927978516,181.59959411621094,1.1553186178207397,5388.857421875,73.80641174316406,180.72967529296875,1.1351344585418701,3168.315673828125,66.46939086914062,173.5463104248047,1.1998462677001953,1078.667236328125,1.37261164188385,2.0017247200012207,0.8723374605178833,4.398402690887451,1789793.310141542
1500,0.0015399495605379343,21.27667999267578,0.4381929337978363,,27.949932098388672,0.002381121585490829,0.023809358600580043,171,250,100,150,250,5000,,cosine_inc_closed_form,1.8960011005401611,1.9969919919967651,8.244702339172363,1.056442141532898,75.10784912109375,181.18276977539062,1.1669204235076904,766.1661376953125,73.85710906982422,180.4742431640625,1.138261318206787,1154.7847900390625,63.43820571899414,171.27476501464844,1.2958407402038574,2129.800537109375,1.3107328414916992,1.9002315998077393,1.0191974639892578,4.863166332244873,2314132.095981399
2000,0.0015160174807533622,21.2757511138916,0.45421552658081055,,28.25147247314453,0.0019629748407922155,0.01962663629507368,185,250,100,150,250,5000,,cosine_inc_closed_form,1.894275188446045,1.996885895729065,8.301122665405273,1.057461142539978,74.72645568847656,180.92213439941406,1.1740890741348267,5886.8837890625,73.6626968383789,180.17674255371094,1.1482421159744263,356.6397705078125,62.11973571777344,169.51715087890625,1.3852514028549194,1476.31982421875,1.25650155544281,1.7948994636535645,1.203244924545288,5.477090835571289,2984516.401868826
2500,0.0010700608836486936,21.3387451171875,0.45631036162376404,,29.495197296142578,0.0014995578364251723,0.014991075536818636,200,250,100,150,250,5000,,cosine_inc_closed_form,1.8947981595993042,1.9969182014465332,8.318960189819336,1.0571520328521729,74.40410614013672,180.74656677246094,1.180281639099121,5206.56689453125,73.47593688964844,179.92056274414062,1.1602809429168701,965.7244873046875,60.77180099487305,167.7795867919922,1.4923444986343384,1084.0823974609375,1.2127248048782349,1.696211576461792,1.4052715301513672,6.283482074737549,3822673.234955588
3000,0.0005192216485738754,21.780691146850586,0.47892531752586365,,32.84934616088867,0.0010362330575932738,0.010356437310683876,215,250,100,150,250,5000,,cosine_inc_closed_form,1.8944520950317383,1.996896743774414,8.323888778686523,1.057356595993042,73.96293640136719,180.6942596435547,1.1866838932037354,851.5687255859375,73.45565032958984,179.82757568359375,1.1718690395355225,680.8499145507812,59.64647674560547,166.11581420898438,1.613919973373413,10567.67578125,1.1821917295455933,1.622094988822937,1.6151615381240845,7.01065731048584,4827900.823166072
3500,0.00030210422119125724,21.67638397216797,0.46997174620628357,,35.19470977783203,0.000618353961822141,0.00617639229766675,229,250,100,150,250,5000,,cosine_inc_closed_form,1.8948066234588623,1.9969186782836914,8.322142601013184,1.0571471452713013,73.70881652832031,180.72906494140625,1.191673994064331,410.9359436035156,73.36729431152344,179.65008544921875,1.1836005449295044,1934.5478515625,58.56068420410156,165.07249450683594,1.7306392192840576,849.4085083007812,1.1669694185256958,1.5801595449447632,1.802163004875183,7.678061485290527,5857581.847363129
4000,0.00020145296002738178,21.582277297973633,0.45781266689300537,,36.961578369140625,0.0002868254665407142,0.0028601124277275675,240,250,100,150,250,5000,,cosine_inc_closed_form,1.895007610321045,1.9969310760498047,8.321149826049805,1.0570284128189087,73.91603088378906,180.80422973632812,1.192936658859253,793.8063354492188,73.69902038574219,179.59234619140625,1.1908506155014038,6520.65966796875,58.1657829284668,164.6516876220703,1.8173707723617554,626.7615356445312,1.1599606275558472,1.5594505071640015,1.9431370496749878,8.12551498413086,6679207.970538871
4500,0.00017711997497826815,21.479183197021484,0.44666218757629395,,37.5181999206543,7.409989076198911e-05,0.00073221828041645,248,250,100,150,250,5000,,cosine_inc_closed_form,1.8951843976974487,1.9969419240951538,8.320245742797852,1.0569238662719727,74.08447265625,180.78311157226562,1.1939018964767456,1498.696044921875,73.73370361328125,179.551513671875,1.1979740858078003,2106.11083984375,58.128692626953125,164.48532104492188,1.8606462478637695,3976.349609375,1.1573923826217651,1.55185067653656,2.014268398284912,8.300721168518066,7135975.537946423
4999,0.0001735592377372086,21.458568572998047,0.4444805681705475,,37.60552978515625,1e-06,1e-06,250,250,100,150,250,5000,,cosine_inc_closed_form,1.8952287435531616,1.996944785118103,8.320115089416504,1.056897759437561,74.103515625,180.77069091796875,1.1944020986557007,1900.744384765625,73.68089294433594,179.548583984375,1.2001761198043823,3018.194091796875,58.131370544433594,164.4727783203125,1.8676936626434326,2751.8076171875,1.1569936275482178,1.550646424293518,2.026336431503296,8.330698013305664,7222075.983742508
