epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,9.59344482421875,0.3590971529483795,,9.87125015258789,0.0
500,14.026236534118652,0.4240178167819977,,14.844039916992188,0.0
1000,15.57614803314209,0.441072553396225,,16.822607040405273,0.0
1500,16.373985290527344,0.4551202356815338,,17.90445899963379,0.0
2000,16.98807144165039,0.463133305311203,,18.813152313232422,0.0
2500,17.432191848754883,0.47479429841041565,,19.529247283935547,0.0
3000,17.890827178955078,0.48652946949005127,,20.25286102294922,0.0
3500,18.169574737548828,0.49322691559791565,,20.772747039794922,0.0
4000,18.354461669921875,0.49807825684547424,,21.12044906616211,0.0
4500,18.434846878051758,0.5003090500831604,,21.27507972717285,0.0
4999,18.448617935180664,0.500668466091156,,21.302396774291992,0.0
