epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,9.76340389251709,0.12049879878759384,,9.84649658203125,0.0
500,14.731420516967773,0.2784472405910492,,14.98794174194336,0.0
1000,14.731332778930664,0.2786664366722107,,14.987985610961914,0.0
1500,14.732011795043945,0.279215008020401,,14.988149642944336,0.0
2000,14.73210334777832,0.2794632613658905,,14.98827838897705,0.0
2500,14.732270240783691,0.27943453192710876,,14.987772941589355,0.0
3000,14.732498168945312,0.27990788221359253,,14.988704681396484,0.0
3500,14.73305606842041,0.2806258499622345,,14.989314079284668,0.0
4000,14.733406066894531,0.2812670171260834,,14.98994255065918,0.0
4500,14.73386001586914,0.28172191977500916,,14.9902925491333,0.0
4999,14.73394775390625,0.2818814516067505,,14.996481895446777,0.0
