Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8836807012557983,1.9961880445480347,7.337993621826172,1.0637812614440918,77.87869262695312,182.55218505859375,1.1332755088806152,1130.4493408203125,76.518310546875,182.20675659179688,1.1451771259307861,3964.87548828125,75.48046112060547,181.2818145751953,1.1518038511276245,602.7340698242188,1.8430719375610352,2.7321183681488037,0.9161193370819092,1.6067382097244263,10.048843311626783
500,1.4012346267700195,1.8200160264968872,14.404032707214355,1.5787043571472168,75.47744750976562,177.5488739013672,1.6593000888824463,314.95794677734375,67.63365936279297,172.3339385986328,1.6728712320327759,482.9880676269531,63.12810134887695,171.4241943359375,1.5448546409606934,914.3822631835938,1.0783861875534058,1.364119291305542,4.460416316986084,5.343786239624023,275.5082231319788
1000,1.5045324563980103,1.8924973011016846,18.4893741607666,1.4078468084335327,71.17118072509766,163.32470703125,2.391386032104492,447.719482421875,63.84158706665039,155.20538330078125,2.373765230178833,1404.229736328125,49.008827209472656,144.8955535888672,2.169822931289673,11906.7587890625,1.0363376140594482,1.192461609840393,6.095698833465576,7.860270023345947,1388.217325161237
1500,1.5221359729766846,1.902224063873291,21.737079620361328,1.3839111328125,65.63746643066406,153.0381622314453,3.040083885192871,4871.60107421875,60.343833923339844,148.4326934814453,2.9810585975646973,2316.85791015625,45.34443283081055,132.48251342773438,2.6475536823272705,24048.083984375,1.0222649574279785,1.1273459196090698,7.6279296875,10.013553619384766,3978.402619611183
2000,1.5469063520431519,1.9148046970367432,23.2916259765625,1.3522080183029175,64.94558715820312,151.77105712890625,3.2323455810546875,1239.7784423828125,60.39509582519531,148.0437774658203,3.1478402614593506,1111.5736083984375,43.50658416748047,132.70584106445312,2.8400685787200928,1803.2730712890625,1.0160377025604248,1.0964304208755493,9.574645042419434,11.502005577087402,6444.389616751239
2500,1.5489990711212158,1.9158109426498413,23.36713409423828,1.3496283292770386,62.04551696777344,150.08242797851562,3.6525866985321045,613.070068359375,60.17696762084961,147.0211944580078,3.479224681854248,1185.74609375,39.53418731689453,128.03456115722656,3.2375307083129883,12857.478515625,1.0147229433059692,1.089640736579895,10.045705795288086,12.049793243408203,9657.90237363697
3000,1.5509144067764282,1.916724443435669,23.438488006591797,1.3472801446914673,60.226661682128906,148.5525665283203,3.9928078651428223,1341.6849365234375,59.058414459228516,145.15896606445312,3.789137840270996,1337.1268310546875,37.410396575927734,123.3973617553711,3.568135976791382,11347.6982421875,1.0129414796829224,1.0802925825119019,10.689082145690918,12.83515739440918,13524.78032772297
3500,1.552160620689392,1.917314887046814,23.509817123413086,1.3457590341567993,59.95856857299805,147.4875030517578,4.1885552406311035,1659.8331298828125,58.692684173583984,143.7380828857422,3.993645668029785,13223.771484375,36.5909423828125,120.21810150146484,3.7859644889831543,2004.2886962890625,1.0191802978515625,1.1099246740341187,11.678447723388672,14.02267074584961,17387.80197363935
4000,1.553015947341919,1.9177184104919434,23.567485809326172,1.3447178602218628,59.84646224975586,146.82089233398438,4.295162677764893,3383.52587890625,58.495540618896484,142.91128540039062,4.109738826751709,3689.716064453125,36.15019989013672,118.4970474243164,3.917149305343628,1421.5379638671875,1.0198171138763428,1.111860990524292,12.621661186218262,15.178654670715332,20568.079302413156
4500,1.5532848834991455,1.9178452491760254,23.597553253173828,1.3443909883499146,59.757198333740234,146.5500030517578,4.3391900062561035,3142.723388671875,58.37556457519531,142.58407592773438,4.158961772918701,2842.6796875,36.06546401977539,117.86314392089844,3.966738700866699,1357.875732421875,1.019097924232483,1.1082195043563843,13.074163436889648,15.746808052062988,22085.542626270446
4999,1.553337812423706,1.917870283126831,23.603410720825195,1.3443267345428467,59.7387580871582,146.51072692871094,4.346336364746094,3082.22509765625,58.38111114501953,142.53846740722656,4.165754318237305,2655.239501953125,36.06000900268555,117.77229309082031,3.9741976261138916,1321.02783203125,1.0189672708511353,1.1075634956359863,13.15137004852295,15.844779014587402,22336.35008460621
