epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,6.912532329559326,0.29170095920562744,,7.030061721801758,0.0
500,19.098413467407227,0.4412344992160797,,22.093097686767578,0.0
1000,19.859731674194336,0.501308798789978,,23.514039993286133,0.0
1500,19.978012084960938,0.5221412181854248,,23.805561065673828,0.0
2000,20.28913116455078,0.5451331734657288,,24.616722106933594,0.0
2500,20.946514129638672,0.5839474201202393,,26.594070434570312,0.0
3000,21.16814422607422,0.5788969397544861,,28.636940002441406,0.0
3500,21.349088668823242,0.5663774609565735,,32.38794708251953,0.0
4000,21.17656898498535,0.5309703350067139,,35.48482131958008,0.0
4500,21.046314239501953,0.5149765610694885,,36.85235595703125,0.0
4999,20.996931076049805,0.5070561766624451,,40.761322021484375,0.0
