epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,3.752708673477173,0.22777044773101807,,3.794257879257202,0.0
500,23.04654884338379,0.5315325856208801,,30.917253494262695,0.0
1000,23.165447235107422,0.5406805872917175,,31.64055824279785,0.0
1500,23.152252197265625,0.5424906611442566,,31.63880157470703,0.0
2000,23.19646453857422,0.5463272929191589,,31.727636337280273,0.0
2500,23.184938430786133,0.5459665656089783,,31.514781951904297,0.0
3000,23.109851837158203,0.5443241000175476,,31.242660522460938,0.0
3500,23.23876953125,0.5528108477592468,,31.982812881469727,0.0
4000,23.568607330322266,0.5776128172874451,,35.17815017700195,0.0
4500,23.731775283813477,0.5916219353675842,,38.87811279296875,0.0
4999,23.765804290771484,0.5856519341468811,,44.7837028503418,0.0
