epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,6.1330742835998535,0.013728980906307697,,6.230442047119141,0.0
500,20.47608184814453,0.4641478955745697,,25.492706298828125,0.0
1000,20.86139488220215,0.49303027987480164,,24.923324584960938,0.0
1500,20.528833389282227,0.4795091152191162,,25.577898025512695,0.0
2000,20.987964630126953,0.5070411562919617,,24.709692001342773,0.0
2500,20.81069564819336,0.5107182264328003,,25.447566986083984,0.0
3000,20.87152099609375,0.5028294920921326,,25.00118064880371,0.0
3500,21.715187072753906,0.5500742793083191,,26.760263442993164,0.0
4000,21.314987182617188,0.5438950061798096,,29.402616500854492,0.0
4500,22.12347412109375,0.5721343159675598,,35.33840560913086,0.0
4999,21.940654754638672,0.5404173731803894,,38.982337951660156,0.0
