epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,10.59957504272461,0.30678802728652954,,10.882513046264648,0.0
500,16.177553176879883,0.36192402243614197,,17.30834197998047,0.0
1000,17.45094871520996,0.3727165758609772,,19.013832092285156,0.0
1500,16.447580337524414,0.3634001314640045,,17.658784866333008,0.0
2000,17.506450653076172,0.37168243527412415,,19.124454498291016,0.0
2500,18.114768981933594,0.38158556818962097,,20.042020797729492,0.0
3000,18.343942642211914,0.3889180123806,,20.373342514038086,0.0
3500,18.69343376159668,0.39611998200416565,,21.02484130859375,0.0
4000,19.070865631103516,0.40768948197364807,,21.668121337890625,0.0
4500,19.358352661132812,0.4166698455810547,,22.198284149169922,0.0
4999,19.52642059326172,0.42240938544273376,,22.56307601928711,0.0
