epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,auto_cos_inc/current_rank,auto_cos_inc/current_target_rank,auto_cos_inc/rank_floor,auto_cos_inc/rank_start,auto_cos_inc/rank_end,auto_cos_inc/rank_warmup_steps,auto_cos_inc/auto_rank_start_final,auto_cos_inc/current_method,rank_wsd_phase,rank_wsd_phase_name,rank_wsd_lr_ratio,rank_wsd_N_rand,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.4378071427345276,8.395944595336914,0.30958881974220276,,8.438287734985352,0.003,0.03,150,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8489974737167358,1.993334174156189,5.168964385986328,1.0852925777435303,76.3526840209961,182.15402221679688,0.07024429738521576,787.01025390625,77.1218032836914,182.44871520996094,0.06991042196750641,309.86285400390625,77.53717803955078,181.45770263671875,0.06925404071807861,1512.518310546875,1.0031960010528564,1.0239851474761963,0.9033970832824707,25.514663696289062,inf
500,0.062263570725917816,11.962599754333496,0.6048267483711243,,12.056495666503906,0.003,0.03,155,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.9106481075286865,1.9978134632110596,8.489032745361328,1.0479118824005127,72.75942993164062,178.63739013671875,0.5311984419822693,1359.927001953125,51.89305877685547,177.01377868652344,0.7410296201705933,1869.849853515625,56.10663986206055,163.38150024414062,0.8745746612548828,13637.197265625,1.0000994205474854,1.0010325908660889,0.44379234313964844,504.44293212890625,inf
1000,0.06219888851046562,11.966029167175293,0.6323068141937256,,12.061260223388672,0.003,0.03,171,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.858064889907837,1.994167447090149,13.66622543334961,1.0795429944992065,75.4083251953125,179.3776092529297,0.7003639936447144,2649.13916015625,63.174556732177734,177.93653869628906,0.8406586050987244,1131.7117919921875,64.88093566894531,170.9298095703125,0.944841206073761,11406.244140625,1.000048279762268,1.0005395412445068,0.4319591820240021,578.768798828125,inf
1500,0.06218954920768738,11.96649169921875,0.6359262466430664,,12.061753273010254,0.003,0.03,192,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8410941362380981,1.9925551414489746,23.643728256225586,1.0903795957565308,75.79019165039062,180.17364501953125,0.8476930856704712,554.2752685546875,70.35794067382812,179.93325805664062,0.941504180431366,1122.8968505859375,68.2608413696289,174.93064880371094,1.0560787916183472,74959.328125,1.000032663345337,1.0003786087036133,0.44105052947998047,678.2593383789062,inf
2000,0.06221460923552513,11.965925216674805,0.6329227089881897,,12.061590194702148,0.003,0.03,215,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.5612547397613525,1.9215340614318848,33.87974548339844,1.3348115682601929,77.82805633544922,180.59580993652344,0.9764249920845032,8019.71337890625,73.02810668945312,180.46530151367188,1.0641460418701172,1360.5703125,71.60104370117188,176.85836791992188,1.1681303977966309,105296.3046875,1.000030517578125,1.0003546476364136,0.41722628474235535,717.23486328125,inf
2500,0.062194567173719406,11.965600967407227,0.628108561038971,,12.062860488891602,0.003,0.03,235,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.7580524682998657,1.98108971118927,40.025882720947266,1.1485512256622314,78.44586181640625,180.49560546875,1.1079412698745728,1632.8792724609375,76.39533996582031,180.86830139160156,1.1688289642333984,1037.3330078125,71.40389251708984,178.02700805664062,1.3099712133407593,3351.5302734375,1.0000364780426025,1.000418782234192,0.3857392370700836,603.0689697265625,inf
3000,0.062182117253541946,11.967327117919922,0.6418919563293457,,12.061737060546875,0.003,0.03,248,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8068609237670898,1.988585114479065,45.60103225708008,1.1132704019546509,77.59024047851562,181.47622680664062,1.247729778289795,928.5226440429688,76.11137390136719,181.1512451171875,1.3015140295028687,2479.61474609375,73.53852844238281,178.7483367919922,1.4286497831344604,12563.8017578125,1.0000492334365845,1.0005500316619873,0.3700282871723175,533.4151000976562,inf
3500,0.062188319861888885,11.96703052520752,0.6402463912963867,,12.062054634094238,0.0027293517406962787,0.027293517406962786,250,250,100,150,250,3333,,cosine_inc_closed_form,1,linear_decay,0.9097839135654262,1,1.910022258758545,1.9977813959121704,48.843936920166016,1.0482720136642456,78.47088623046875,181.41705322265625,1.355729579925537,16506.47265625,75.80973052978516,181.29330444335938,1.422298550605774,1657.0321044921875,74.62699890136719,179.1275177001953,1.5345580577850342,54546.1328125,1.0000666379928589,1.000723123550415,0.3461918234825134,482.77154541015625,inf
4000,0.06217328459024429,11.968483924865723,0.6527828574180603,,12.063618659973145,0.001919027611044418,0.01919027611044418,250,250,100,150,250,3333,,cosine_inc_closed_form,1,linear_decay,0.6396758703481393,1,1.888627529144287,1.9965236186981201,51.36763000488281,1.0608161687850952,77.12248229980469,181.2256317138672,1.4333027601242065,1651.3970947265625,74.80086517333984,181.55551147460938,1.4994815587997437,982.8341064453125,72.5217056274414,179.30902099609375,1.6273576021194458,9701.439453125,1.0000581741333008,1.00063955783844,0.35947996377944946,498.9643859863281,inf
4500,0.062118496745824814,11.9703950881958,0.6705201268196106,,12.06628704071045,0.001108703481392557,0.01108703481392557,250,250,100,150,250,3333,,cosine_inc_closed_form,1,linear_decay,0.36956782713085234,1,1.9032710790634155,1.9974178075790405,51.42609405517578,1.0521821975708008,76.26142883300781,181.08213806152344,1.4726077318191528,1029.066650390625,75.90055084228516,181.22311401367188,1.5144121646881104,5939.8896484375,72.64334106445312,179.47352600097656,1.6577149629592896,49955.09765625,1.000038504600525,1.0004392862319946,0.36306753754615784,645.5844116210938,inf
