epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,6.22044038772583,0.09836431592702866,,6.26893949508667,0.0
500,12.221474647521973,0.3514932096004486,,12.423319816589355,0.0
1000,12.222740173339844,0.355846643447876,,12.424477577209473,0.0
1500,12.221455574035645,0.3517165184020996,,12.422861099243164,0.0
2000,12.222457885742188,0.3547699451446533,,12.422718048095703,0.0
2500,12.222480773925781,0.3546780049800873,,12.423187255859375,0.0
3000,12.221980094909668,0.35249844193458557,,12.423473358154297,0.0
3500,12.222460746765137,0.3551081717014313,,12.4235258102417,0.0
4000,12.222853660583496,0.35665929317474365,,12.423032760620117,0.0
4500,12.224201202392578,0.3602728545665741,,12.42494010925293,0.0
4999,12.225995063781738,0.36728811264038086,,12.427040100097656,0.0
