epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,auto_cos_inc/current_rank,auto_cos_inc/current_target_rank,auto_cos_inc/rank_floor,auto_cos_inc/rank_start,auto_cos_inc/rank_end,auto_cos_inc/rank_warmup_steps,auto_cos_inc/auto_rank_start_final,auto_cos_inc/current_method,rank_wsd_phase,rank_wsd_phase_name,rank_wsd_lr_ratio,rank_wsd_N_rand,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.39726877212524414,4.139172077178955,0.3001512587070465,,4.215017318725586,0.003,0.03,150,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8625924587249756,1.9945602416992188,5.195930004119873,1.0767061710357666,76.59061431884766,182.28965759277344,0.07016339153051376,405.2799987792969,77.510986328125,182.57481384277344,0.06972088664770126,565.2139282226562,77.6730728149414,181.56564331054688,0.06919337064027786,633.8610229492188,1.0032005310058594,1.0240147113800049,0.9032908082008362,25.521854400634766,4066.949786072039
500,0.002128257416188717,20.621301651000977,0.5588926076889038,,26.49795150756836,0.003,0.03,155,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8907043933868408,1.9966593980789185,6.073705673217773,1.059578776359558,59.523433685302734,160.00144958496094,0.34602832794189453,11058.703125,28.883211135864258,161.60105895996094,0.6380235552787781,48451.78125,50.4777717590332,156.4856414794922,1.0201873779296875,11238.556640625,1.1324573755264282,1.4449713230133057,0.36974450945854187,25.810697555541992,1294862.800685333
1000,0.0038924396503716707,20.29082489013672,0.5545262098312378,,25.827653884887695,0.003,0.03,171,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8902713060379028,1.9966312646865845,6.079439640045166,1.0598362684249878,63.00239562988281,162.85623168945312,0.32787445187568665,4116.6748046875,34.591033935546875,164.59202575683594,0.566686749458313,2399.613525390625,56.092071533203125,162.59149169921875,1.0767887830734253,28879.091796875,1.1559290885925293,1.5047343969345093,0.3674629330635071,18.075788497924805,1144190.1684619947
1500,0.004243344534188509,18.70817756652832,0.5235492587089539,,21.96477699279785,0.003,0.03,192,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8902010917663574,1.996626615524292,6.086390495300293,1.0598782300949097,62.568363189697266,165.089111328125,0.3155749440193176,149001.078125,40.89094543457031,166.55918884277344,0.5038926601409912,1647.6290283203125,59.461421966552734,166.559814453125,1.1485942602157593,123574.4453125,1.1550719738006592,1.5040496587753296,0.3686865568161011,17.452999114990234,1049214.462620993
2000,0.005072260741144419,19.66596221923828,0.5435830950737,,24.36199188232422,0.003,0.03,215,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8903487920761108,1.9966363906860352,6.097280979156494,1.0597902536392212,61.37032699584961,164.79409790039062,0.3101351857185364,643.376953125,47.72237777709961,166.98121643066406,0.4500373601913452,25024.087890625,64.33778381347656,169.3222198486328,1.2113544940948486,28066.56640625,1.155005693435669,1.5054124593734741,0.36269092559814453,16.695709228515625,957158.2091895711
2500,0.004898174665868282,20.03737449645996,0.5486789345741272,,24.654434204101562,0.003,0.03,235,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8920097351074219,1.9967432022094727,6.110456466674805,1.0588032007217407,59.66975021362305,162.24244689941406,0.3149457275867462,1176.6749267578125,52.26825714111328,162.46873474121094,0.4359951317310333,2947.844970703125,67.0108413696289,170.17941284179688,1.2973978519439697,65110.6875,1.1506365537643433,1.4952033758163452,0.3528341054916382,17.13852310180664,983274.3577294427
3000,0.007360084448009729,18.163673400878906,0.4909247159957886,,20.977371215820312,0.003,0.03,248,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8930517435073853,1.9968091249465942,6.125960350036621,1.058185338973999,61.37837219238281,160.68283081054688,0.3198084235191345,5417.548828125,57.82036590576172,155.1375274658203,0.5079271197319031,1807.5416259765625,68.70970916748047,171.59317016601562,1.3988361358642578,77093.2578125,1.1587789058685303,1.5100818872451782,0.34119912981987,18.435646057128906,1215850.575912656
3500,0.0045290011912584305,19.253623962402344,0.5166134834289551,,22.536134719848633,0.0027293517406962787,0.027293517406962786,250,250,100,150,250,3333,,cosine_inc_closed_form,1,linear_decay,0.9097839135654262,1,1.8916267156600952,1.9967185258865356,6.150067329406738,1.0590304136276245,61.745418548583984,158.3972930908203,0.344208687543869,1206.80078125,64.81380462646484,161.71823120117188,0.6580048203468323,1260.954345703125,70.10954284667969,172.77281188964844,1.4925377368927002,79755.7421875,1.177221655845642,1.542627215385437,0.3341694474220276,21.612998962402344,1778536.5687368582
4000,0.003818129887804389,19.46722412109375,0.5516887307167053,,24.021160125732422,0.001919027611044418,0.01919027611044418,250,250,100,150,250,3333,,cosine_inc_closed_form,1,linear_decay,0.6396758703481393,1,1.8966730833053589,1.997032880783081,6.14482307434082,1.0560462474822998,58.090248107910156,156.81849670410156,0.3783997595310211,1037.9765625,67.17543029785156,165.28366088867188,0.7540057301521301,1162.1859130859375,69.5489273071289,173.0360870361328,1.564418077468872,12719.7578125,1.1919127702713013,1.5737940073013306,0.3423248529434204,19.01219940185547,2403621.623362508
4500,0.00044775407877750695,21.53213119506836,0.6242659687995911,,33.51231384277344,0.001108703481392557,0.01108703481392557,250,250,100,150,250,3333,,cosine_inc_closed_form,1,linear_decay,0.36956782713085234,1,1.8938627243041992,1.9968600273132324,6.157525539398193,1.057705044746399,57.815311431884766,157.4481658935547,0.3746734857559204,5296.1064453125,67.10926055908203,165.0550994873047,0.7785283327102661,4546.0283203125,69.8230209350586,173.24057006835938,1.5883175134658813,31957.818359375,1.1991374492645264,1.6063263416290283,0.3462762236595154,12.246109962463379,2528911.128341265
