Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8513197898864746,1.993553638458252,5.207705497741699,1.0838111639022827,76.17835998535156,182.0839385986328,0.07033330202102661,653.5159912109375,77.1961441040039,182.44810485839844,0.06991375982761383,302.297119140625,77.57489013671875,181.48704528808594,0.06923487037420273,1838.658203125,1.0086669921875,1.0563889741897583,0.9006854295730591,18.799667358398438,inf
500,1.9701133966445923,1.999769926071167,7.126383304595947,1.0152868032455444,89.7364273071289,193.74603271484375,0.5798509120941162,475.1445007324219,85.826416015625,199.34117126464844,0.7047597765922546,1294.537109375,82.63959503173828,197.13848876953125,1.0128936767578125,11685.23046875,1.0006924867630005,1.0057960748672485,0.25432029366493225,311.2571716308594,inf
1000,1.9193217754364014,1.998233437538147,11.911703109741211,1.0429565906524658,83.18374633789062,186.10459899902344,0.7477887272834778,302.6222229003906,85.69969940185547,191.04856872558594,0.8303515315055847,1800.7449951171875,86.28668975830078,192.9412841796875,1.0997791290283203,4945.21240234375,1.0005888938903809,1.0050549507141113,0.24579040706157684,245.38461303710938,inf
1500,1.8785055875778198,1.9958183765411377,17.646387100219727,1.066909909248352,77.92915344238281,184.5036163330078,0.8807826042175293,998.7014770507812,81.0180435180664,188.08799743652344,0.948395848274231,20023.724609375,85.08926391601562,190.3729248046875,1.1842764616012573,3358.99853515625,1.0005009174346924,1.0044041872024536,0.23399874567985535,214.40025329589844,inf
2000,1.8224953413009644,1.9905213117599487,21.65935707092285,1.102638840675354,77.77815246582031,184.15695190429688,0.9513204097747803,911.4085083007812,80.0437240600586,186.98707580566406,1.018216848373413,832.5516357421875,85.0423583984375,189.09237670898438,1.2356674671173096,4643.2041015625,1.0004736185073853,1.0042096376419067,0.2220819592475891,191.86636352539062,inf
2500,1.8184345960617065,1.9900387525558472,24.188339233398438,1.1053707599639893,77.7246322631836,183.81349182128906,0.9949479103088379,761.3761596679688,80.13029479980469,186.5516815185547,1.056399941444397,679.9551391601562,84.36555480957031,188.25030517578125,1.2699778079986572,33669.94140625,1.0004379749298096,1.0039523839950562,0.21066232025623322,169.4374237060547,inf
3000,1.81313157081604,1.989387035369873,24.820335388183594,1.1089694499969482,78.5905532836914,183.6925811767578,1.0115551948547363,1279.918212890625,79.73760986328125,186.1967315673828,1.0805906057357788,615.3191528320312,82.55618286132812,187.6491241455078,1.299742341041565,87453.046875,1.0004161596298218,1.0037750005722046,0.20106162130832672,175.77223205566406,inf
3500,1.8204872608184814,1.9902844429016113,25.30620574951172,1.1039873361587524,78.79804992675781,183.7493438720703,1.0187896490097046,3652.34912109375,79.8916244506836,186.06883239746094,1.0883212089538574,19334.37109375,82.08800506591797,187.4815216064453,1.3110111951828003,7132.7041015625,1.0003854036331177,1.0035133361816406,0.19571281969547272,198.61680603027344,inf
4000,1.814541220664978,1.9895628690719604,25.438459396362305,1.1080093383789062,78.50939178466797,183.74969482421875,1.0239683389663696,787.31396484375,80.18017578125,185.9287109375,1.0888952016830444,564.81201171875,81.74049377441406,187.35755920410156,1.3161901235580444,7351.365234375,1.000340461730957,1.0031325817108154,0.19303545355796814,239.5894775390625,inf
4500,1.8127809762954712,1.9893431663513184,25.457622528076172,1.109208583831787,78.48171997070312,183.73611450195312,1.0246793031692505,441.3172607421875,80.33316802978516,185.92613220214844,1.0882600545883179,913.1535034179688,81.56366729736328,187.33575439453125,1.3180534839630127,6262.22021484375,1.0002988576889038,1.0027551651000977,0.19208620488643646,422.7078552246094,inf
4999,1.8125790357589722,1.9893178939819336,25.458919525146484,1.1093465089797974,78.47314453125,183.7235870361328,1.0247383117675781,464.2112121582031,80.3257064819336,185.92701721191406,1.0882961750030518,1039.693603515625,81.53662109375,187.3304901123047,1.3182849884033203,11749.3427734375,1.0002870559692383,1.002637505531311,0.19177404046058655,1027.9884033203125,inf
