epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,9.27351188659668,0.18417046964168549,,9.431356430053711,0.0
500,14.7275972366333,0.3700718581676483,,15.30546760559082,0.0
1000,14.729475021362305,0.37405335903167725,,15.307552337646484,0.0
1500,14.729571342468262,0.37473711371421814,,15.307580947875977,0.0
2000,14.729532241821289,0.37448999285697937,,15.307942390441895,0.0
2500,14.729714393615723,0.37509164214134216,,15.308475494384766,0.0
3000,14.730167388916016,0.3761143386363983,,15.30849838256836,0.0
3500,14.730611801147461,0.376903772354126,,15.308865547180176,0.0
4000,14.731128692626953,0.37817099690437317,,15.309698104858398,0.0
4500,14.731393814086914,0.3788816034793854,,15.30999755859375,0.0
4999,14.731498718261719,0.37912440299987793,,15.316252708435059,0.0
