epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,13.525373458862305,0.3606538474559784,,13.955341339111328,0.0
500,20.479433059692383,0.45923730731010437,,23.234527587890625,0.0
1000,20.975357055664062,0.4647951126098633,,24.23271942138672,0.0
1500,21.27300262451172,0.47140827775001526,,24.852027893066406,0.0
2000,21.439655303955078,0.4718568027019501,,25.28479766845703,0.0
2500,21.59386444091797,0.476186066865921,,25.65528678894043,0.0
3000,21.73442840576172,0.47885000705718994,,26.009904861450195,0.0
3500,21.840364456176758,0.4807223379611969,,26.307815551757812,0.0
4000,21.91659164428711,0.4822750985622406,,26.519271850585938,0.0
4500,21.950838088989258,0.483060359954834,,26.62191390991211,0.0
4999,21.957096099853516,0.48324188590049744,,26.640647888183594,0.0
