Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.882995843887329,1.9961402416229248,7.336071491241455,1.064193606376648,77.8885269165039,182.5537567138672,1.1332093477249146,1085.11328125,76.52333068847656,182.20997619628906,1.1451460123062134,7728.83447265625,75.47364044189453,181.28292846679688,1.1518621444702148,618.8187866210938,1.8438235521316528,2.732632875442505,0.915947675704956,1.606065273284912,10.043977678636383
500,1.8838202953338623,1.9961978197097778,16.806636810302734,1.0636972188949585,56.16746139526367,164.5062713623047,1.575242519378662,549.1011352539062,52.98529815673828,165.28855895996094,1.5974971055984497,3815.80859375,53.938880920410156,172.03565979003906,1.4669536352157593,1339.779296875,1.0734761953353882,1.3193458318710327,8.837583541870117,9.912515640258789,548.2999936500506
1000,1.910051941871643,1.9977827072143555,19.232715606689453,1.0482549667358398,39.87442398071289,134.3136749267578,2.3460445404052734,4636.35986328125,39.1528205871582,137.486572265625,2.3002102375030518,1956.7969970703125,35.01713562011719,147.64039611816406,2.065953493118286,5353.1552734375,1.0570050477981567,1.2661319971084595,11.12257194519043,9.66911506652832,2384.8999217047167
1500,1.9122203588485718,1.9978930950164795,20.42799186706543,1.0470082759857178,33.9135856628418,121.22732543945312,2.9110472202301025,1248.417236328125,36.33415985107422,125.56706237792969,2.7642569541931152,2219.583984375,30.787372589111328,131.57456970214844,2.4361255168914795,1328.9117431640625,1.054587483406067,1.2585328817367554,12.266440391540527,9.446832656860352,4912.149215580654
2000,1.9156988859176636,1.9980638027191162,21.13724708557129,1.0450177192687988,31.14510154724121,115.15596008300781,3.2936222553253174,3555.140869140625,34.15175247192383,119.63766479492188,3.143784284591675,3792.00439453125,28.46506690979004,121.82628631591797,2.7193763256073,1691.432861328125,1.055783748626709,1.2627265453338623,13.295867919921875,9.451144218444824,7913.360592406932
2500,1.916452169418335,1.9980998039245605,21.62392234802246,1.0445882081985474,30.07996940612793,111.89056396484375,3.5337445735931396,3787.397216796875,33.34902572631836,116.46817016601562,3.402193069458008,3994.1767578125,26.9870662689209,115.5584945678711,2.9414656162261963,19498.8359375,1.062174677848816,1.2873098850250244,14.180310249328613,8.872838973999023,10843.71493848127
3000,1.917871356010437,1.998166561126709,21.96354866027832,1.0437802076339722,29.660531997680664,109.86781311035156,3.6895101070404053,4220.69580078125,33.444461822509766,114.59652709960938,3.5650150775909424,2145.178466796875,25.546449661254883,110.84822082519531,3.1597695350646973,3459.45263671875,1.0620176792144775,1.2838554382324219,16.44205093383789,9.521733283996582,15008.731305394615
3500,1.9182647466659546,1.9981849193572998,22.197378158569336,1.0435566902160645,29.396814346313477,108.56694030761719,3.8037798404693604,3315.5302734375,33.549373626708984,113.40220642089844,3.6908247470855713,1986.6475830078125,24.470062255859375,107.4774398803711,3.3449654579162598,5844.041015625,1.0527437925338745,1.2488192319869995,19.131864547729492,10.35078239440918,19942.950528004454
4000,1.9181811809539795,1.9981811046600342,22.34108543395996,1.0436041355133057,29.271175384521484,107.66111755371094,3.890517234802246,2108.291748046875,33.80390930175781,112.73505401611328,3.781132698059082,10685.3212890625,23.979400634765625,105.15546417236328,3.476408004760742,1023.1106567382812,1.0500671863555908,1.2382724285125732,20.69635009765625,10.691486358642578,23646.01907108653
4500,1.9182720184326172,1.998185157775879,22.406396865844727,1.0435526371002197,29.32254981994629,107.3255844116211,3.93739652633667,1382.7755126953125,33.93080139160156,112.6411361694336,3.830185651779175,7087.1376953125,23.958641052246094,104.31375885009766,3.5323777198791504,679.8461303710938,1.0563207864761353,1.2601604461669922,21.39718246459961,10.67510986328125,25540.225641302382
4999,1.918324589729309,1.99818754196167,22.417617797851562,1.0435227155685425,29.359901428222656,107.32968139648438,3.944575071334839,1643.2044677734375,33.962371826171875,112.65692901611328,3.8381595611572266,3307.615966796875,23.96994400024414,104.20582580566406,3.5413665771484375,730.377685546875,1.0575058460235596,1.2640349864959717,21.52025032043457,10.72512149810791,25866.097753635884
