epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.4170575439929962,5.828653335571289,0.0162868183106184,,5.859535217285156,0.002999999704010574,0.02999999703921747,1.8978840112686157,1.9971058368682861,7.27543306350708,1.0553338527679443,77.87290954589844,182.55262756347656,1.1333290338516235,964.9827270507812,76.51345825195312,182.20101928710938,1.1452014446258545,24898.638671875,75.46064758300781,181.28759765625,1.1523616313934326,692.2449340820312,1.72993803024292,2.645928144454956,0.8674289584159851,1.690550446510315,1510217.2980679749
500,0.0007607409497722983,26.630661010742188,0.7612088322639465,,30.792247772216797,0.0029263178201258035,0.02926295708101175,1.8967387676239014,1.9970370531082153,7.835936546325684,1.0560076236724854,76.79742431640625,182.02700805664062,1.1536287069320679,659.0695190429688,75.77043151855469,181.16358947753906,1.1216868162155151,2274.770263671875,54.003074645996094,166.5043182373047,1.1914026737213135,4572.1591796875,1.2112892866134644,1.7399649620056152,0.6118549108505249,4.680999279022217,1182648.223060678
1000,0.0006235621403902769,26.632978439331055,0.787132203578949,,32.095741271972656,0.0027130669537502256,0.027129808451334846,1.8991706371307373,1.9971818923950195,7.891150951385498,1.0545785427093506,75.61415100097656,181.57984924316406,1.1648805141448975,997.447265625,74.23522186279297,180.5782470703125,1.112463355064392,519.5416870117188,53.30768966674805,162.28646850585938,1.2345072031021118,2762.7001953125,1.209509015083313,1.7464613914489746,0.6453485488891602,4.40480899810791,1303513.0835188187
1500,0.00045958522241562605,27.33883285522461,0.8025469183921814,,33.775413513183594,0.002381121585490829,0.023809358600580043,1.8997901678085327,1.997218370437622,7.946832656860352,1.054215431213379,74.60588073730469,181.132568359375,1.176945686340332,685.0866088867188,74.31230163574219,179.78221130371094,1.1045266389846802,999.1196899414062,51.607662200927734,159.85488891601562,1.2945643663406372,1337.507080078125,1.1900382041931152,1.6967856884002686,0.6863876581192017,4.599420070648193,1468722.6118439978
2000,0.00029639722197316587,27.267894744873047,0.8106398582458496,,35.12812805175781,0.0019629748407922155,0.01962663629507368,1.9005062580108643,1.9972599744796753,7.990055084228516,1.0537961721420288,72.41061401367188,180.6285400390625,1.1989928483963013,397.1093444824219,74.21305847167969,179.14186096191406,1.1041911840438843,1167.528564453125,50.19796371459961,158.03297424316406,1.3494433164596558,18574.0078125,1.175728678703308,1.658581256866455,0.7248175144195557,4.763067722320557,1655441.9252830627
2500,0.0003896889684256166,27.931795120239258,0.8123829364776611,,35.159332275390625,0.0014995578364251723,0.014991075536818636,1.8980194330215454,1.9971137046813965,8.023548126220703,1.055254340171814,70.80455780029297,180.3316192626953,1.2150452136993408,349.75701904296875,74.38359069824219,178.84902954101562,1.1063939332962036,753.9741821289062,48.888126373291016,157.00584411621094,1.4168996810913086,3713.564453125,1.1521252393722534,1.5916804075241089,0.7985276579856873,5.106856822967529,1952620.0071161545
3000,6.759535608580336e-05,27.997512817382812,0.8007004261016846,,41.76953125,0.0010362330575932738,0.010356437310683876,1.8975178003311157,1.9970837831497192,8.03227710723877,1.055549144744873,69.89237976074219,180.1449432373047,1.2232856750488281,327.0122985839844,73.9747314453125,178.60008239746094,1.1131500005722046,1078.0858154296875,47.401973724365234,155.64990234375,1.5011218786239624,772.5914306640625,1.1308943033218384,1.5278438329696655,0.8814457058906555,5.492281436920166,2315537.2273668
3500,3.390659185242839e-05,27.857027053833008,0.7879295349121094,,44.67652130126953,0.000618353961822141,0.00617639229766675,1.897632360458374,1.9970906972885132,8.032184600830078,1.0554817914962769,69.4244613647461,180.10226440429688,1.2280207872390747,425.0777893066406,73.81254577636719,178.52235412597656,1.11770498752594,1043.2620849609375,47.46660232543945,154.61074829101562,1.5491983890533447,2846.129150390625,1.1240347623825073,1.5061103105545044,0.9209443926811218,5.656733989715576,2516674.3089591223
4000,2.1656209355569445e-05,27.74518585205078,0.7703205943107605,,46.65265655517578,0.0002868254665407142,0.0028601124277275675,1.8977272510528564,1.997096300125122,8.031625747680664,1.055426001548767,69.51049041748047,180.1246795654297,1.2283203601837158,423.6235656738281,73.85260772705078,178.4795379638672,1.1208245754241943,922.8759765625,47.83018112182617,153.92237854003906,1.5823453664779663,1883.4005126953125,1.1190851926803589,1.490027904510498,0.9531636834144592,5.795084476470947,2668342.0972502297
4500,1.851073102443479e-05,27.65825080871582,0.757335364818573,,47.32642364501953,7.409989076198911e-05,0.00073221828041645,1.8977826833724976,1.99709951877594,8.031294822692871,1.0553934574127197,69.61177062988281,180.13156127929688,1.228304147720337,437.9860534667969,73.93248748779297,178.4478759765625,1.1226340532302856,1002.3320922851562,48.10308074951172,153.49464416503906,1.6009787321090698,1245.957275390625,1.1163607835769653,1.4811190366744995,0.9718163013458252,5.873275279998779,2756889.9097480117
