epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.37751615047454834,10.2174711227417,0.2864595055580139,,10.472973823547363,0.002999999704010574,0.02999999703921747,1.8836807012557983,1.9961880445480347,7.337993621826172,1.0637812614440918,77.88640594482422,182.55392456054688,1.1332250833511353,1092.731201171875,76.51947784423828,182.20997619628906,1.145176649093628,7856.6962890625,75.47374725341797,181.28292846679688,1.1518607139587402,620.87158203125,1.8430719375610352,2.7321183681488037,0.9161193370819092,1.6067382097244263,10.04888807452
500,0.020834488794207573,15.81356430053711,0.34925684332847595,,16.818092346191406,0.0029263178201258035,0.02926295708101175,1.399280309677124,1.8183555603027344,14.096257209777832,1.5825631618499756,54.91646957397461,166.76930236816406,1.5302945375442505,622.9049682617188,48.710506439208984,166.77764892578125,1.5988190174102783,569.46826171875,50.792545318603516,173.1735076904297,1.489848256111145,773.6128540039062,1.0707073211669922,1.3329933881759644,4.350863933563232,6.0228071212768555,223.56081673910091
1000,0.019796954467892647,16.04115867614746,0.35167956352233887,,17.106464385986328,0.0027130669537502256,0.027129808451334846,1.4524179697036743,1.8594672679901123,17.487577438354492,1.4867229461669922,34.61768341064453,134.04527282714844,2.365084171295166,7611.97216796875,30.334070205688477,136.15684509277344,2.427700996398926,1432.9805908203125,32.18791198730469,148.21649169921875,2.1068532466888428,1232.8289794921875,1.0499780178070068,1.2499481439590454,5.374715328216553,7.211275100708008,1137.0019284847888
1500,0.017940249294042587,16.381786346435547,0.35711660981178284,,17.545000076293945,0.002381121585490829,0.023809358600580043,1.4561775922775269,1.862076997756958,20.926090240478516,1.4805837869644165,30.15077781677246,118.68405151367188,2.9166321754455566,976.3072509765625,28.31370735168457,120.56007385253906,2.9331250190734863,23359.40234375,27.852567672729492,127.89257049560547,2.533904552459717,5394.6787109375,1.0273463726043701,1.1513386964797974,7.389047145843506,9.286727905273438,3351.807126844561
2000,0.016065429896116257,16.67342185974121,0.3628789484500885,,17.936107635498047,0.0019629748407922155,0.01962663629507368,1.4546318054199219,1.8610084056854248,23.01286506652832,1.4830987453460693,28.940610885620117,110.34469604492188,3.2496838569641113,806.4505004882812,27.260555267333984,111.627197265625,3.3358359336853027,974.9030151367188,26.061044692993164,115.4502182006836,2.8465046882629395,5250.05908203125,1.0174390077590942,1.1033976078033447,9.143040657043457,11.569013595581055,6492.605885107695
2500,0.015195107087492943,16.95050048828125,0.36801764369010925,,18.302391052246094,0.0014995578364251723,0.014991075536818636,1.4534744024276733,1.8602044582366943,24.194564819335938,1.4849902391433716,28.276294708251953,105.6469955444336,3.4754371643066406,1863.166748046875,26.769317626953125,106.82191467285156,3.6228678226470947,2186.38818359375,25.17250633239746,108.01860046386719,3.0766522884368896,11120.2646484375,1.0119545459747314,1.0749146938323975,11.146730422973633,13.985455513000488,10447.338350996306
3000,0.014042284339666367,17.142770767211914,0.37235644459724426,,18.572404861450195,0.0010362330575932738,0.010356437310683876,1.4540627002716064,1.8606133460998535,24.877397537231445,1.4840281009674072,27.652362823486328,102.90657043457031,3.6494321823120117,2232.760986328125,26.74886131286621,104.07260131835938,3.8188540935516357,11304.8701171875,24.527551651000977,102.91187286376953,3.268341541290283,6720.0048828125,1.0096386671066284,1.0622419118881226,12.838418006896973,15.837952613830566,14547.965254037399
3500,0.013236851431429386,17.289236068725586,0.37620601058006287,,18.772621154785156,0.000618353961822141,0.00617639229766675,1.4547874927520752,1.8611164093017578,25.280412673950195,1.4828449487686157,27.357452392578125,101.31549835205078,3.7633116245269775,1245.4544677734375,26.99971580505371,102.28458404541016,3.9510486125946045,1803.54052734375,24.03655242919922,99.1762466430664,3.4300520420074463,7114.1455078125,1.0080968141555786,1.0535205602645874,14.394594192504883,17.673248291015625,18559.5246769061
4000,0.012780027464032173,17.401363372802734,0.3791804611682892,,18.932449340820312,0.0002868254665407142,0.0028601124277275675,1.4554002285003662,1.86154043674469,25.504209518432617,1.4818469285964966,27.278284072875977,100.33917999267578,3.838148355484009,921.3447265625,27.309284210205078,101.33183288574219,4.036888599395752,7750.669921875,23.867843627929688,96.90992736816406,3.543837785720825,4287.49609375,1.0073449611663818,1.0492411851882935,15.553600311279297,18.337812423706055,21781.3683122548
4500,0.012566759251058102,17.453144073486328,0.3807375729084015,,19.007970809936523,7.409989076198911e-05,0.00073221828041645,1.4558792114257812,1.8618712425231934,25.600261688232422,1.4810683727264404,27.320859909057617,99.87519836425781,3.880336284637451,746.9237670898438,27.507076263427734,101.17385864257812,4.079387187957764,2949.19580078125,23.902313232421875,96.15232849121094,3.594231128692627,1460.662353515625,1.006841778755188,1.0463567972183228,16.189682006835938,18.648025512695312,23580.50039358753
