epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,9.26761245727539,0.3039255142211914,,9.363924026489258,0.0
500,18.714258193969727,0.3057708740234375,,20.163755416870117,0.0
1000,20.09917449951172,0.3591327369213104,,22.065736770629883,0.0
1500,20.969839096069336,0.4027373790740967,,23.500574111938477,0.0
2000,21.503219604492188,0.41712260246276855,,24.716758728027344,0.0
2500,21.90898895263672,0.42983555793762207,,26.011192321777344,0.0
3000,22.246091842651367,0.4350488483905792,,27.89968490600586,0.0
3500,22.239389419555664,0.41630029678344727,,30.187042236328125,0.0
4000,22.092132568359375,0.3967760503292084,,31.678159713745117,0.0
4500,21.8497257232666,0.36947616934776306,,35.73100280761719,0.0
4999,21.656333923339844,0.3515191078186035,,38.537357330322266,0.0
