epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,5.9833664894104,0.015673084184527397,,6.102355003356934,0.0
500,20.188030242919922,0.5535568594932556,,24.12676239013672,0.0
1000,19.27359390258789,0.5331122875213623,,24.402355194091797,0.0
1500,19.94258689880371,0.5614154934883118,,26.4333553314209,0.0
2000,21.252777099609375,0.6028258204460144,,30.627071380615234,0.0
2500,21.59440803527832,0.6129279136657715,,31.35009765625,0.0
3000,21.36167335510254,0.5998336672782898,,35.2936897277832,0.0
3500,21.47099494934082,0.5927073359489441,,38.02130126953125,0.0
4000,21.418689727783203,0.575898289680481,,39.56560516357422,0.0
4500,21.356239318847656,0.5632176995277405,,40.0568733215332,0.0
4999,21.341644287109375,0.5603533387184143,,40.145172119140625,0.0
