epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.39726877212524414,4.341768741607666,0.30151796340942383,,4.421477794647217,0.002999999704010574,0.02999999703921747,1.8625924587249756,1.9945602416992188,5.195930004119873,1.0767061710357666,76.57862091064453,182.30096435546875,0.07021664083003998,534.3204345703125,77.56598663330078,182.5312042236328,0.06972480565309525,531.5606079101562,77.74115753173828,181.66757202148438,0.06915724277496338,895.0088500976562,1.0032005310058594,1.0240147113800049,0.9032908082008362,25.521854400634766,4068.1399006501206
500,0.006587383337318897,18.674774169921875,0.3505026400089264,,21.87875747680664,0.0029263178201258035,0.02926295708101175,1.9414265155792236,1.9990898370742798,6.307252407073975,1.0306395292282104,86.53446960449219,197.00965881347656,0.3501754105091095,1230.8636474609375,53.76665496826172,172.25975036621094,0.647421658039093,3442.125,90.96409606933594,199.34678649902344,0.7889164090156555,5148.8232421875,1.0736852884292603,1.2848570346832275,0.6895067691802979,113.15459442138672,1991235.2417804352
1000,0.004612806253135204,19.42990493774414,0.4182288944721222,,23.417150497436523,0.0027130669537502256,0.027129808451334846,1.9415998458862305,1.9990954399108887,6.3102545738220215,1.030544638633728,86.18029022216797,194.1071319580078,0.34143224358558655,1541.4635009765625,55.70399475097656,167.1289825439453,0.5891500115394592,803.2564086914062,90.97335052490234,199.35076904296875,0.7892777919769287,31650.208984375,1.0796458721160889,1.3026959896087646,0.7250442504882812,75.68464660644531,1859566.287461933
1500,0.0032193013466894627,20.000131607055664,0.4613748788833618,,25.055429458618164,0.002381121585490829,0.023809358600580043,1.9417287111282349,1.9990994930267334,6.312431812286377,1.030474066734314,86.20342254638672,192.3655548095703,0.3373294472694397,463.12567138671875,54.905208587646484,164.24728393554688,0.5585901737213135,1886.6048583984375,91.44112396240234,199.33697509765625,0.787611722946167,14656.056640625,1.0782405138015747,1.2989243268966675,0.7286412119865417,69.93167877197266,1747471.552422341
2000,0.0022052794229239225,20.436817169189453,0.4910810887813568,,26.34981918334961,0.0019629748407922155,0.01962663629507368,1.9419385194778442,1.9991061687469482,6.3146443367004395,1.0303592681884766,85.54170989990234,191.20907592773438,0.3362638056278229,329.2475891113281,54.22113800048828,163.8271942138672,0.5432260036468506,1822.50732421875,91.41156768798828,199.3062744140625,0.788025975227356,172665.046875,1.0726864337921143,1.2828916311264038,0.7256371974945068,69.9956283569336,1688533.2035183897
2500,0.0015157569432631135,20.696670532226562,0.5033196806907654,,28.370893478393555,0.0014995578364251723,0.014991075536818636,1.9422260522842407,1.9991151094436646,6.3148512840271,1.0302021503448486,85.25170135498047,190.63780212402344,0.33558622002601624,788.6497192382812,55.95146942138672,164.20071411132812,0.5307183265686035,42835.19921875,91.4139404296875,199.29525756835938,0.7880881428718567,8300.158203125,1.0696600675582886,1.273805856704712,0.7205649614334106,74.52909088134766,1635005.546280596
3000,0.0008835676708258688,20.863035202026367,0.5047554969787598,,30.497665405273438,0.0010362330575932738,0.010356437310683876,1.9421619176864624,1.9991133213043213,6.315485000610352,1.0302371978759766,85.09388732910156,190.37771606445312,0.33552536368370056,1008.977294921875,56.760711669921875,163.908447265625,0.5282228589057922,4509.24365234375,91.48176574707031,199.2840576171875,0.787822961807251,21349.32421875,1.0695091485977173,1.2732419967651367,0.7194279432296753,78.12979125976562,1624071.5451743705
3500,0.0005497186211869121,20.856536865234375,0.4882400929927826,,32.5059814453125,0.000618353961822141,0.00617639229766675,1.9423712491989136,1.9991198778152466,6.315467357635498,1.0301227569580078,84.92710876464844,190.37171936035156,0.3357839286327362,4485.84765625,57.1177864074707,163.8426513671875,0.527523398399353,1273.3359375,91.62547302246094,199.24851989746094,0.7869293689727783,124077.25,1.0710711479187012,1.2778834104537964,0.7199452519416809,77.4530029296875,1622491.086040227
4000,0.00027655274607241154,20.846033096313477,0.46878787875175476,,35.6322021484375,0.0002868254665407142,0.0028601124277275675,1.9423213005065918,1.9991183280944824,6.3157501220703125,1.030150055885315,84.90267944335938,190.34413146972656,0.33585450053215027,2083.4609375,57.024749755859375,163.8133544921875,0.5284660458564758,1561.42236328125,91.6470718383789,199.2238006591797,0.7864081859588623,34192.93359375,1.0713499784469604,1.2789194583892822,0.7239577174186707,71.28366088867188,1633783.0773758686
4500,9.163934009848163e-05,20.7491397857666,0.44330644607543945,,40.372276306152344,7.409989076198911e-05,0.00073221828041645,1.9423214197158813,1.9991183280944824,6.3157429695129395,1.030150055885315,84.9190673828125,190.36447143554688,0.3358429968357086,3116.220458984375,57.05888748168945,163.80233764648438,0.5283169746398926,1830.3621826171875,91.2439193725586,199.10301208496094,0.788986086845398,11916.5419921875,1.0725020170211792,1.285218596458435,0.7254239320755005,38.68391418457031,1641937.0311250451
4999,6.461566226789728e-05,20.704227447509766,0.4334350526332855,,41.89667510986328,1e-06,1e-06,1.9423271417617798,1.9991185665130615,6.315736293792725,1.030146837234497,84.96002960205078,190.3759002685547,0.33579492568969727,1638.74755859375,57.03676223754883,163.798583984375,0.5284497737884521,1839.8104248046875,91.08843231201172,199.06797790527344,0.7908804416656494,5038.60400390625,1.0729957818984985,1.2881730794906616,0.7256532907485962,32.49360656738281,1646576.086160344
