Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8513197898864746,1.993553638458252,5.207705497741699,1.0838111639022827,76.17835998535156,182.0839385986328,0.07033330202102661,653.5159912109375,77.1961441040039,182.44810485839844,0.06991375982761383,302.297119140625,77.57489013671875,181.48704528808594,0.06923487037420273,1838.658203125,1.0086669921875,1.0563889741897583,0.9006854295730591,18.799667358398438,inf
500,1.8258390426635742,1.9909082651138306,7.382959842681885,1.1004042625427246,88.85449981689453,193.2329559326172,0.5840687155723572,424.74566650390625,84.95354461669922,198.39572143554688,0.7114378809928894,698.6886596679688,86.53418731689453,197.30654907226562,0.9938609600067139,7834.09716796875,1.0004427433013916,1.0039137601852417,0.260930597782135,325.6587219238281,inf
1000,1.7668862342834473,1.9826183319091797,13.15554141998291,1.1419169902801514,82.55241394042969,187.4908905029297,0.7686566710472107,1294.513916015625,79.38688659667969,189.55233764648438,0.8761086463928223,814.4461059570312,86.90090942382812,191.72610473632812,1.108410120010376,2495.7548828125,1.0003867149353027,1.0034977197647095,0.2516808807849884,249.6099090576172,inf
1500,1.575766682624817,1.92794668674469,26.01093864440918,1.3178826570510864,76.73181915283203,184.82298278808594,0.9338599443435669,585.4776611328125,77.93009185791016,186.0072784423828,1.0056544542312622,4103.01806640625,84.06298065185547,188.35617065429688,1.2264180183410645,2582.647216796875,1.000335454940796,1.003113031387329,0.23758327960968018,197.62136840820312,inf
2000,1.579893708229065,1.9297006130218506,36.232208251953125,1.3131847381591797,78.5432357788086,183.9232635498047,1.0429693460464478,1874.091796875,80.3852310180664,184.75416564941406,1.1004043817520142,520.6077270507812,81.84112548828125,186.64340209960938,1.3296239376068115,62344.8515625,1.0003297328948975,1.0031087398529053,0.2171143889427185,149.07106018066406,inf
2500,1.666346788406372,1.9600400924682617,40.85987854003906,1.225038766860962,79.48981475830078,182.50709533691406,1.1465848684310913,894.8327026367188,78.896240234375,183.6916961669922,1.2145293951034546,814.135986328125,81.51911163330078,185.43331909179688,1.4157029390335083,8742.125,1.000413179397583,1.0038248300552368,0.18976840376853943,120.30424499511719,inf
3000,1.6959493160247803,1.9679436683654785,46.6187858581543,1.1987019777297974,78.12720489501953,182.2115478515625,1.2553201913833618,3082.751220703125,78.47481536865234,183.10743713378906,1.309324026107788,32389.146484375,79.50591278076172,184.24276733398438,1.520309329032898,5916.42041015625,1.0005178451538086,1.0047332048416138,0.18335361778736115,88.58472442626953,inf
3500,1.7432135343551636,1.9783397912979126,50.44461441040039,1.1599605083465576,79.21481323242188,182.083251953125,1.334094524383545,1326.1151123046875,77.11614990234375,182.83425903320312,1.4068596363067627,685.2670288085938,79.25511169433594,183.18226623535156,1.6019599437713623,18658.064453125,1.0010986328125,1.0092042684555054,0.13657712936401367,63.429656982421875,inf
4000,1.743450403213501,1.9783855676651,52.269630432128906,1.159775733947754,77.85039520263672,181.65760803222656,1.3997191190719604,1184.7191162109375,77.12228393554688,182.46707153320312,1.4588500261306763,1098.5316162109375,78.73145294189453,182.68026733398438,1.659604787826538,1994.4134521484375,1.0031417608261108,1.0230605602264404,0.08065743744373322,38.871097564697266,inf
4500,1.7603060007095337,1.9814872741699219,53.083213806152344,1.1468478441238403,77.77354431152344,181.46835327148438,1.4223167896270752,617.2005615234375,77.16177368164062,182.3699951171875,1.4823603630065918,645.1153564453125,78.79747009277344,182.6732177734375,1.6821300983428955,1797.5936279296875,1.0380127429962158,1.1926076412200928,0.01882198080420494,11.045700073242188,inf
4999,1.7611582279205322,1.9816361665725708,53.24509048461914,1.1462056636810303,77.76195526123047,181.42657470703125,1.4281026124954224,439.72869873046875,76.85828399658203,182.28036499023438,1.4903875589370728,439.891845703125,78.38028717041016,182.60302734375,1.6922128200531006,3304.04541015625,1.1178916692733765,1.481914758682251,0.00583558389917016,6.119770526885986,inf
