Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8878896236419678,1.9964746236801147,7.3239898681640625,1.0612568855285645,77.87120056152344,182.5545196533203,1.1333454847335815,962.9954833984375,76.5120620727539,182.20623779296875,1.1451796293258667,9605.041015625,75.46369934082031,181.29364013671875,1.152564287185669,718.180908203125,1.8008986711502075,2.703644037246704,0.6760607361793518,1.6258450746536255,1185098.7032887007
500,1.8285064697265625,1.9912101030349731,8.127826690673828,1.098631501197815,77.0400619506836,182.11659240722656,1.1473430395126343,325.4765319824219,77.41587829589844,181.12013244628906,1.1181544065475464,937.4638671875,62.1209831237793,171.59938049316406,1.2177354097366333,7344.33837890625,1.2130217552185059,1.718354344367981,0.6447821855545044,5.446937084197998,1309952.1951471847
1000,1.822644829750061,1.9905389547348022,8.344462394714355,1.1025387048721313,76.6484375,181.5618438720703,1.153623104095459,2946.11474609375,76.6705093383789,180.4246826171875,1.1211708784103394,537.6814575195312,60.381107330322266,168.6336212158203,1.335621953010559,929.6375732421875,1.1938482522964478,1.6808544397354126,0.7287764549255371,5.403444766998291,1680861.6956111814
1500,1.8209742307662964,1.9903422594070435,8.511341094970703,1.103659749031067,75.90885925292969,180.8997039794922,1.166326642036438,805.0484008789062,75.82662963867188,179.5450897216797,1.1276006698608398,3889.400146484375,59.772457122802734,165.2939910888672,1.4313884973526,1729.4412841796875,1.1759105920791626,1.6332101821899414,0.791827380657196,5.758175849914551,2029932.222549425
2000,1.814435601234436,1.9895496368408203,8.663878440856934,1.108081340789795,74.9170150756836,180.13095092773438,1.1830317974090576,963.26806640625,74.72570037841797,178.55955505371094,1.1372063159942627,8939.541015625,55.97532272338867,161.9420928955078,1.5563035011291504,2106.4521484375,1.1635615825653076,1.5965898036956787,0.8529306054115295,6.1758503913879395,2475574.5339639736
2500,1.815762996673584,1.989713430404663,8.785892486572266,1.1071792840957642,73.98038482666016,179.40232849121094,1.2012946605682373,865.0978393554688,72.81920623779297,177.45399475097656,1.1536061763763428,1260.261474609375,52.36434555053711,159.0487060546875,1.6778312921524048,2112.237548828125,1.1566847562789917,1.5782408714294434,0.8957704305648804,6.305520534515381,2927911.8583541615
3000,1.81075918674469,1.9890875816345215,8.90504264831543,1.1105908155441284,73.00728607177734,178.5552978515625,1.221150279045105,9504.4033203125,70.80659484863281,176.22801208496094,1.1722239255905151,14925.7197265625,50.366153717041016,156.4395294189453,1.773977279663086,12238.876953125,1.139390468597412,1.5303306579589844,0.9585021138191223,6.68185567855835,3467981.7946838182
3500,1.810016393661499,1.9889930486679077,9.020048141479492,1.1110999584197998,72.39771270751953,177.7803192138672,1.2393816709518433,1338.708740234375,69.81304168701172,175.0354461669922,1.1867867708206177,1595.980224609375,48.326171875,154.5550994873047,1.8687355518341064,2843.437255859375,1.1254031658172607,1.4872283935546875,1.0319658517837524,7.251384258270264,4093735.4924131306
4000,1.8122700452804565,1.9892789125442505,9.041377067565918,1.1095573902130127,71.82660675048828,177.39630126953125,1.2541660070419312,6161.619140625,69.27473449707031,174.1826171875,1.2062063217163086,755.762451171875,45.90227127075195,154.59246826171875,1.9885178804397583,1327.8958740234375,1.098127007484436,1.4009408950805664,1.2124979496002197,8.54949951171875,5276448.497566369
4500,1.811801552772522,1.9892197847366333,9.031938552856445,1.109877586364746,71.63641357421875,177.36932373046875,1.2597798109054565,782.720947265625,67.77046966552734,173.75025939941406,1.2313017845153809,1354.1177978515625,44.625362396240234,154.2855224609375,2.1271159648895264,827.982666015625,1.083899736404419,1.3538353443145752,1.3887132406234741,9.415731430053711,6621613.892942737
4999,1.8119052648544312,1.9892330169677734,9.026599884033203,1.1098066568374634,71.71475219726562,177.4649200439453,1.261561393737793,780.6351318359375,67.55045318603516,173.60250854492188,1.2446115016937256,1180.0352783203125,45.0554084777832,153.82318115234375,2.223220109939575,968.9744262695312,1.0746732950210571,1.3230533599853516,1.5391044616699219,9.920690536499023,7759557.121250548
