epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,10.582746505737305,0.3064885139465332,,10.864553451538086,0.0
500,16.009084701538086,0.3600696325302124,,17.07943344116211,0.0
1000,17.005287170410156,0.36732152104377747,,18.436635971069336,0.0
1500,17.60818099975586,0.3751355707645416,,19.245044708251953,0.0
2000,17.944265365600586,0.38019120693206787,,19.834003448486328,0.0
2500,18.160911560058594,0.3846815824508667,,20.205097198486328,0.0
3000,18.41997528076172,0.3917473256587982,,20.532302856445312,0.0
3500,18.791311264038086,0.39964044094085693,,21.146461486816406,0.0
4000,19.145484924316406,0.4095330238342285,,21.776756286621094,0.0
4500,19.423158645629883,0.4179098904132843,,22.328201293945312,0.0
4999,19.60651206970215,0.4238544702529907,,22.72638511657715,0.0
