Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8780766725540161,1.9957871437072754,7.332607269287109,1.0671703815460205,77.88700103759766,182.55392456054688,1.1332212686538696,1076.1298828125,76.5172348022461,182.2105712890625,1.1451917886734009,7766.734375,75.47388458251953,181.28378295898438,1.1518580913543701,619.2107543945312,1.8425712585449219,2.7318153381347656,0.9160671830177307,1.6068366765975952,10.041016252710167
500,1.70303213596344,1.9696693420410156,14.706084251403809,1.1926482915878296,52.077083587646484,166.17372131347656,1.5742480754852295,3427.558837890625,50.22847366333008,165.63380432128906,1.600938081741333,1446.439453125,51.24748611450195,171.82798767089844,1.4906586408615112,577.0519409179688,1.0352307558059692,1.1809107065200806,8.446708679199219,11.439767837524414,466.67063498032223
1000,1.658103585243225,1.9576314687728882,16.19683074951172,1.23268723487854,33.451839447021484,136.25062561035156,2.325230121612549,838.520751953125,32.56056213378906,133.99415588378906,2.365832567214966,2075.005859375,31.103506088256836,150.5532684326172,2.091582775115967,1743.75244140625,1.0477638244628906,1.2324399948120117,8.855965614318848,9.883895874023438,1650.4066632080585
1500,1.6375930309295654,1.951220989227295,17.13634490966797,1.2523572444915771,26.769250869750977,119.12641906738281,2.955967664718628,2265.1630859375,26.74915885925293,115.1581039428711,3.020867109298706,148411.734375,23.52408218383789,133.71612548828125,2.596937894821167,1931.1961669921875,1.0427745580673218,1.213003396987915,9.525039672851562,10.167948722839355,3785.1043022662625
2000,1.6263883113861084,1.9474576711654663,17.842395782470703,1.263508677482605,25.47648048400879,110.23956298828125,3.3347651958465576,1287.6732177734375,25.442502975463867,107.37022399902344,3.4724364280700684,5322.51171875,20.12746238708496,121.62220764160156,3.0111594200134277,2735.503173828125,1.0431195497512817,1.2144113779067993,9.605278968811035,10.130586624145508,5975.805645867976
2500,1.6196306943893433,1.9450947046279907,18.463199615478516,1.270379662513733,25.095848083496094,104.59437561035156,3.6340441703796387,44084.42578125,25.91986846923828,103.60344696044922,3.7959444522857666,1500.3914794921875,18.810773849487305,112.19438934326172,3.3315961360931396,1113.1260986328125,1.0412384271621704,1.2067062854766846,9.8837251663208,10.338534355163574,8386.679096196447
3000,1.6107791662216187,1.9418914318084717,19.070518493652344,1.2795519828796387,24.82699203491211,100.46141052246094,3.9066085815429688,7714.3076171875,26.12140464782715,101.5798568725586,4.114736557006836,983.47998046875,18.034616470336914,105.44060516357422,3.6166203022003174,2131.68115234375,1.0410444736480713,1.2057074308395386,9.987627029418945,10.439555168151855,11073.111361832223
3500,1.6020612716674805,1.938612699508667,19.643936157226562,1.2887827157974243,24.227088928222656,97.10517883300781,4.196461200714111,2777.768798828125,26.31180763244629,100.21623992919922,4.419386386871338,785.6910400390625,17.625865936279297,99.73295593261719,3.8726491928100586,9562.490234375,1.0413180589675903,1.2067673206329346,10.08742618560791,10.43334674835205,14231.878496362506
4000,1.5966228246688843,1.9365038871765137,20.05290985107422,1.2946430444717407,23.507854461669922,94.75655364990234,4.465639114379883,4700.87744140625,26.749357223510742,99.11270904541016,4.672872543334961,12869.326171875,17.183780670166016,94.41242980957031,4.163327693939209,117167.4140625,1.0394154787063599,1.1983721256256104,10.699689865112305,10.890177726745605,18640.46513243015
4500,1.5933704376220703,1.9352189302444458,20.320619583129883,1.2981863021850586,23.12542724609375,93.39337158203125,4.643301963806152,7817.37060546875,27.103967666625977,98.46744537353516,4.857683181762695,3173.664306640625,16.87957191467285,90.5918960571289,4.415751934051514,2724.740234375,1.036757230758667,1.1868146657943726,11.457250595092773,11.478388786315918,23188.792797751677
4999,1.591696858406067,1.9345505237579346,20.470014572143555,1.3000209331512451,22.888851165771484,92.53897094726562,4.764408588409424,2765.0126953125,27.35927963256836,98.16094207763672,4.987226963043213,3383.690185546875,16.867666244506836,88.59480285644531,4.593017578125,8365.734375,1.0364948511123657,1.183901071548462,12.59367561340332,12.46248722076416,28134.35050502201
