epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,rank_wsd_phase,rank_wsd_phase_name,rank_wsd_lr_ratio,rank_wsd_N_rand,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.2040347009897232,9.484074592590332,0.024722760543227196,,9.532248497009277,0.003,0.03,0,stable,1.0,1,1.9067625999450684,1.9976093769073486,7.304179668426514,1.050154447555542,77.8883285522461,182.552978515625,1.133215069770813,1067.98828125,76.51811981201172,182.21145629882812,1.1451469659805298,9084.9560546875,75.46864318847656,181.28509521484375,1.1523507833480835,701.1668090820312,1.719454288482666,2.616194725036621,0.7717801332473755,1.8593641519546509,1348786.761051591
500,0.001524279359728098,25.187332153320312,0.7718448638916016,,27.617101669311523,0.003,0.03,0,stable,1.0,1,1.8872194290161133,1.9964299201965332,8.027120590209961,1.0616575479507446,76.47993469238281,181.83250427246094,1.1426022052764893,544.8182373046875,78.9211654663086,180.9970245361328,1.0744216442108154,334.44671630859375,52.970481872558594,160.25128173828125,1.1558434963226318,1088.0689697265625,1.476299524307251,2.2843892574310303,0.7143120765686035,2.6425676345825195,1301777.0262385777
1000,0.0016617894871160388,23.720319747924805,0.7562370300292969,,26.339921951293945,0.003,0.03,0,stable,1.0,1,1.8743340969085693,1.9955066442489624,8.253847122192383,1.069451928138733,75.60862731933594,181.13404846191406,1.1573036909103394,1216.3995361328125,77.25921630859375,179.55714416503906,1.0722978115081787,8796.4931640625,52.07749938964844,154.3951873779297,1.2029489278793335,3686.14599609375,1.4507781267166138,2.231241226196289,0.7473145127296448,2.8379251956939697,1473295.175753691
1500,0.001053509651683271,26.414226531982422,0.802394688129425,,29.38455581665039,0.003,0.03,0,stable,1.0,1,1.863892912864685,1.994670033454895,8.462334632873535,1.0758954286575317,74.83384704589844,180.24514770507812,1.175318717956543,989.7830810546875,75.58458709716797,177.99951171875,1.0806257724761963,1831.013916015625,51.12411117553711,149.8855438232422,1.259110689163208,548.4797973632812,1.442397117614746,2.209826946258545,0.7659321427345276,2.9360105991363525,1658423.1734354019
2000,0.0009695146000012755,27.93378448486328,0.8115264773368835,,29.9228572845459,0.003,0.03,0,stable,1.0,1,1.8565047979354858,1.9940288066864014,8.643345832824707,1.0805257558822632,73.92088317871094,179.051513671875,1.1962097883224487,2601.36572265625,74.2422103881836,176.33021545410156,1.0875542163848877,789.4095458984375,49.879356384277344,145.79153442382812,1.3147610425949097,810.318359375,1.4273027181625366,2.1814987659454346,0.8006017208099365,3.0349810123443604,1893753.6696392696
2500,0.001708786585368216,26.487024307250977,0.8027763366699219,,29.78515625,0.003,0.03,0,stable,1.0,1,1.8481214046478271,1.9932502508163452,8.810397148132324,1.085852861404419,72.43700408935547,177.85662841796875,1.2235265970230103,2439.328369140625,72.39624786376953,174.8145751953125,1.1005945205688477,228.13772583007812,45.8791389465332,142.39186096191406,1.4157097339630127,4216.576171875,1.4354466199874878,2.189601421356201,0.7903354167938232,3.0407516956329346,2123938.2752085454
3000,0.0009175338200293481,26.013988494873047,0.7955260276794434,,29.858495712280273,0.003,0.03,0,stable,1.0,1,1.8431873321533203,1.9927663803100586,8.965826034545898,1.0890252590179443,70.40206146240234,176.5349884033203,1.2583470344543457,4630.1083984375,70.66757202148438,173.206298828125,1.1150104999542236,359.16094970703125,42.84771728515625,139.81072998046875,1.511224389076233,1225.84375,1.4154973030090332,2.158074378967285,0.8050883412361145,3.124622344970703,2448849.9157185745
3500,0.0004998826188966632,27.364330291748047,0.8240229487419128,,33.23236083984375,0.0027293517406962787,0.027293517406962786,1,linear_decay,0.9097839135654262,1,1.8381012678146362,1.9922471046447754,9.10519027709961,1.0923247337341309,67.55561065673828,175.16502380371094,1.3037744760513306,841.0162963867188,69.61052703857422,171.75303649902344,1.1312206983566284,3791.010986328125,40.52345657348633,138.4625244140625,1.6063789129257202,2613.6513671875,1.3952269554138184,2.1241202354431152,0.85246741771698,3.221362829208374,2942284.130960139
4000,8.384545799344778e-05,29.351518630981445,0.8550974726676941,,40.601539611816406,0.001919027611044418,0.01919027611044418,1,linear_decay,0.6396758703481393,1,1.8374031782150269,1.9921741485595703,9.11517333984375,1.0927798748016357,65.81278991699219,174.7255859375,1.3307713270187378,3776.582275390625,68.5285415649414,171.03359985351562,1.1531363725662231,758.9075317382812,38.819854736328125,139.50465393066406,1.706355333328247,2097.423828125,1.372682809829712,2.077131986618042,0.9398431777954102,3.419440984725952,3589168.8339876523
4500,3.427250339882448e-05,29.345813751220703,0.8524428009986877,,44.67134094238281,0.001108703481392557,0.01108703481392557,1,linear_decay,0.36956782713085234,1,1.837630033493042,1.99219810962677,9.10770320892334,1.0926319360733032,65.21221923828125,174.73007202148438,1.3382805585861206,3142.849853515625,68.8551025390625,170.81329345703125,1.1543703079223633,767.5177001953125,39.0982551574707,139.051513671875,1.762944221496582,1613.61328125,1.3709454536437988,2.067319393157959,0.9821017980575562,3.503951072692871,3897770.3433402893
