epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,8.332110404968262,0.09002841264009476,,8.510494232177734,0.0
500,12.532306671142578,0.2118965983390808,,13.014934539794922,0.0
1000,12.533672332763672,0.214285746216774,,13.016556739807129,0.0
1500,12.534436225891113,0.21547019481658936,,13.016422271728516,0.0
2000,12.53391170501709,0.21427620947360992,,13.015623092651367,0.0
2500,12.53331184387207,0.21344991028308868,,13.013994216918945,0.0
3000,12.533903121948242,0.21430087089538574,,13.015491485595703,0.0
3500,12.533612251281738,0.2142801731824875,,13.01637077331543,0.0
4000,12.534639358520508,0.21522550284862518,,13.016845703125,0.0
4500,12.535438537597656,0.21686142683029175,,13.018030166625977,0.0
4999,12.537121772766113,0.2194477915763855,,13.020061492919922,0.0
