epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,9.201464653015137,0.021213823929429054,,9.412103652954102,0.0
500,20.63082504272461,0.39538440108299255,,26.086885452270508,0.0
1000,20.79132843017578,0.40667998790740967,,26.413347244262695,0.0
1500,21.074626922607422,0.4330669641494751,,27.095556259155273,0.0
2000,20.59389877319336,0.4091639518737793,,26.52226448059082,0.0
2500,20.96879005432129,0.42465758323669434,,26.188125610351562,0.0
3000,20.360366821289062,0.39068374037742615,,26.136686325073242,0.0
3500,20.859479904174805,0.43576371669769287,,27.31145668029785,0.0
4000,21.223909378051758,0.4621618688106537,,28.8120059967041,0.0
4500,21.775922775268555,0.4888909161090851,,33.963340759277344,0.0
4999,21.750873565673828,0.48047688603401184,,37.573211669921875,0.0
