epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,9.26761245727539,0.3039255142211914,,9.363924026489258,0.0
500,18.559478759765625,0.3084261119365692,,19.88163185119629,0.0
1000,20.754840850830078,0.397079735994339,,22.9100341796875,0.0
1500,21.42440414428711,0.4520321786403656,,23.809383392333984,0.0
2000,21.63188934326172,0.4795890748500824,,24.12970733642578,0.0
2500,22.178993225097656,0.5109692215919495,,24.99056625366211,0.0
3000,21.88992691040039,0.5181023478507996,,24.59977912902832,0.0
3500,22.220094680786133,0.5458243489265442,,25.364686965942383,0.0
4000,23.46776580810547,0.5959499478340149,,28.584096908569336,0.0
4500,24.161067962646484,0.6005540490150452,,31.728992462158203,0.0
4999,24.00033950805664,0.5529981851577759,,36.15639877319336,0.0
