Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8759571313858032,1.9956294298171997,7.388733386993408,1.0684608221054077,77.89359283447266,182.5537567138672,1.1332058906555176,915.246826171875,76.53672790527344,182.2091064453125,1.1450071334838867,30802.712890625,75.46354675292969,181.29226684570312,1.1525061130523682,659.6259765625,1.8564822673797607,2.735804796218872,0.6378897428512573,1.6319704055786133,1127705.8952539966
500,1.7982996702194214,1.9874327182769775,8.362858772277832,1.119223952293396,78.88153076171875,182.1616668701172,1.1431124210357666,160694.453125,76.68721008300781,180.62413024902344,1.1157922744750977,4803.462890625,62.57358169555664,172.074462890625,1.186842918395996,485.2372131347656,1.3012197017669678,2.001354455947876,0.6130096912384033,2.9884395599365234,1241674.100713985
1000,1.800365924835205,1.9877170324325562,8.551591873168945,1.1177783012390137,77.88665008544922,181.5003662109375,1.1552640199661255,1230.732421875,75.63433074951172,179.7197265625,1.11985182762146,500.7114562988281,59.320884704589844,168.98876953125,1.3089746236801147,2073.144287109375,1.2507203817367554,1.8726487159729004,0.767670750617981,3.506621837615967,1778750.275021103
1500,1.7996915578842163,1.9876246452331543,8.660640716552734,1.1182496547698975,76.90264129638672,180.94964599609375,1.1693589687347412,422.6855163574219,74.34683227539062,179.1353759765625,1.1354036331176758,5648.93798828125,57.07333755493164,166.31935119628906,1.4162956476211548,746.0505981445312,1.2380692958831787,1.8252084255218506,0.8971909880638123,3.943835735321045,2337797.8707658155
2000,1.800378441810608,1.9877188205718994,8.699206352233887,1.117769718170166,76.48162078857422,180.5711669921875,1.1788920164108276,275.7897033691406,74.2493896484375,178.6670379638672,1.1458373069763184,728.442138671875,57.1138916015625,164.5644073486328,1.4970271587371826,7019.431640625,1.2357470989227295,1.8070719242095947,1.0235419273376465,4.234636306762695,2880924.765249863
2500,1.801314115524292,1.9878458976745605,8.708789825439453,1.1171168088912964,76.2773208618164,180.3299102783203,1.1851376295089722,280.357421875,73.38285827636719,178.29971313476562,1.1641874313354492,946.234375,57.78977584838867,163.3133544921875,1.5786527395248413,2164.264892578125,1.247544288635254,1.814164161682129,1.141303539276123,4.571824073791504,3463835.491989842
3000,1.8015707731246948,1.9878807067871094,8.706872940063477,1.1169379949569702,76.37631225585938,180.25674438476562,1.1874138116836548,1372.32763671875,72.54795837402344,177.99017333984375,1.1819545030593872,1710.7451171875,57.61227798461914,162.2576141357422,1.681391716003418,639.9061889648438,1.2739189863204956,1.846555471420288,1.2468067407608032,4.850841999053955,4098765.6719497344
3500,1.8016061782836914,1.9878857135772705,8.704813003540039,1.1169134378433228,76.3863525390625,180.27127075195312,1.189695119857788,2398.994140625,71.69908905029297,177.87393188476562,1.1990737915039062,2007.7860107421875,58.27155303955078,161.41114807128906,1.7682026624679565,1074.8140869140625,1.2915472984313965,1.862763524055481,1.3601795434951782,5.101390361785889,4778474.783550637
4000,1.8017630577087402,1.9879069328308105,8.7025728225708,1.1168041229248047,76.40267181396484,180.3029022216797,1.1918052434921265,912.53369140625,71.61817932128906,177.76438903808594,1.2095619440078735,465.5688171386719,58.5489501953125,160.9272918701172,1.8485591411590576,530.8643798828125,1.286153793334961,1.8415226936340332,1.4806909561157227,5.45189905166626,5494128.696356271
4500,1.8018947839736938,1.987924575805664,8.701140403747559,1.1167123317718506,76.23211669921875,180.29586791992188,1.1952136754989624,1060.0245361328125,71.61902618408203,177.65269470214844,1.2165799140930176,635.7012329101562,58.70260238647461,160.71839904785156,1.8927804231643677,1679.141845703125,1.2825180292129517,1.8292319774627686,1.5466402769088745,5.655974864959717,5926139.984358512
4999,1.801916241645813,1.9879275560379028,8.700927734375,1.1166971921920776,76.24185943603516,180.2949981689453,1.1958039999008179,1052.6614990234375,71.56405639648438,177.61264038085938,1.2187488079071045,781.7428588867188,58.697086334228516,160.7080535888672,1.900374412536621,1227.3135986328125,1.2821760177612305,1.8275455236434937,1.5582605600357056,5.69231653213501,6008125.598838822
