epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,6.136534214019775,0.013759627006947994,,6.233222961425781,0.0
500,20.857345581054688,0.4872490465641022,,25.404991149902344,0.0
1000,21.21662139892578,0.5140949487686157,,25.08000946044922,0.0
1500,21.240650177001953,0.5221006870269775,,27.27838134765625,0.0
2000,21.389610290527344,0.5314318537712097,,28.221668243408203,0.0
2500,21.77364158630371,0.5482566952705383,,31.790590286254883,0.0
3000,22.07932472229004,0.5506781935691833,,33.63575744628906,0.0
3500,21.92098617553711,0.5309057831764221,,36.21083068847656,0.0
4000,21.748146057128906,0.5052364468574524,,38.118316650390625,0.0
4500,21.59984588623047,0.4860649108886719,,38.774906158447266,0.0
4999,21.566579818725586,0.48207440972328186,,38.88274383544922,0.0
