epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,6.549126625061035,0.2818171977996826,,6.65179967880249,0.0
500,17.730911254882812,0.3159025013446808,,19.933359146118164,0.0
1000,19.336477279663086,0.38256049156188965,,22.582168579101562,0.0
1500,19.815027236938477,0.41729485988616943,,23.5645694732666,0.0
2000,20.001338958740234,0.4250470697879791,,24.054336547851562,0.0
2500,20.246517181396484,0.4255674183368683,,24.96533966064453,0.0
3000,20.440357208251953,0.4242500960826874,,26.38901710510254,0.0
3500,20.545061111450195,0.40890321135520935,,29.284151077270508,0.0
4000,20.20142364501953,0.36388731002807617,,32.106868743896484,0.0
4500,20.012958526611328,0.34562644362449646,,33.46257781982422,0.0
4999,19.9204158782959,0.3356095850467682,,37.55702590942383,0.0
