epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,8.481378555297852,0.3130326271057129,,8.524531364440918,0.0
500,11.966609001159668,0.6392738223075867,,12.06281566619873,0.0
1000,11.969157218933105,0.6603806018829346,,12.066152572631836,0.0
1500,11.969284057617188,0.6605699062347412,,12.065689086914062,0.0
2000,11.97072982788086,0.6741139888763428,,12.065815925598145,0.0
2500,11.971296310424805,0.680019199848175,,12.067575454711914,0.0
3000,11.971348762512207,0.6817626357078552,,12.067023277282715,0.0
3500,11.972434997558594,0.6908847689628601,,12.068181037902832,0.0
4000,11.973162651062012,0.6991231441497803,,12.069347381591797,0.0
4500,11.9738187789917,0.7051085829734802,,12.070050239562988,0.0
4999,11.974047660827637,0.7067060470581055,,12.075811386108398,0.0
