epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.4378071427345276,8.481378555297852,0.3130326271057129,,8.524531364440918,0.002999999704010574,0.02999999703921747,1.8489974737167358,1.993334174156189,5.168964385986328,1.0852925777435303,76.21986389160156,182.07040405273438,0.07034242153167725,1121.9376220703125,76.99872589111328,182.45306396484375,0.07001826912164688,439.9896240234375,77.75212097167969,181.24790954589844,0.06915908306837082,1023.5431518554688,1.0031960010528564,1.0239851474761963,0.9033970832824707,25.514663696289062,inf
500,0.062184181064367294,11.966609001159668,0.6392738223075867,,12.06281566619873,0.0029263178201258035,0.02926295708101175,1.794397234916687,1.9868855476379395,8.143043518066406,1.1219698190689087,81.33486938476562,185.96231079101562,0.5947600603103638,4430.00048828125,64.78811645507812,193.9940643310547,0.8163189888000488,1661.1605224609375,73.31304931640625,191.31842041015625,0.9364854097366333,3050.60400390625,1.0000399351119995,1.0004514455795288,0.5295573472976685,788.3903198242188,inf
1000,0.062161192297935486,11.969157218933105,0.6603806018829346,,12.066152572631836,0.0027130669537502256,0.027129808451334846,1.7592655420303345,1.9813042879104614,16.79578971862793,1.1476333141326904,80.08257293701172,183.84864807128906,0.757878303527832,5312.61083984375,71.38630676269531,187.47482299804688,0.9263309836387634,418.87139892578125,79.73857879638672,187.02890014648438,1.017231822013855,10024.037109375,1.0000214576721191,1.0002586841583252,0.5931465029716492,730.9705810546875,inf
1500,0.06215686723589897,11.969284057617188,0.6605699062347412,,12.065689086914062,0.002381121585490829,0.023809358600580043,1.7855170965194702,1.9855875968933105,24.840890884399414,1.128293752670288,77.21466064453125,182.31417846679688,0.8860002756118774,1545.073486328125,74.37784576416016,184.54673767089844,1.0140931606292725,2006.287353515625,79.59700775146484,184.68519592285156,1.11029052734375,23733.294921875,1.000012993812561,1.000164270401001,0.6120966076850891,741.9241333007812,inf
2000,0.062130678445100784,11.97072982788086,0.6741139888763428,,12.065815925598145,0.0019629748407922155,0.01962663629507368,1.9028369188308716,1.9973931312561035,27.099441528320312,1.0524351596832275,76.35045623779297,182.1950225830078,0.9661498665809631,1923.7667236328125,77.1654052734375,183.6345977783203,1.061074137687683,1503.711181640625,78.61041259765625,183.59861755371094,1.1810146570205688,5693.02197265625,1.0000085830688477,1.0001128911972046,0.653501033782959,881.69873046875,inf
2500,0.06212743744254112,11.971296310424805,0.680019199848175,,12.067575454711914,0.0014995578364251723,0.014991075536818636,1.958687424659729,1.999555230140686,28.682918548583984,1.0213191509246826,76.89079284667969,182.11346435546875,1.0084148645401,648.7498779296875,77.3355941772461,183.3018035888672,1.101991891860962,503.91912841796875,78.34259796142578,183.51292419433594,1.2217069864273071,5931.0791015625,1.0000076293945312,1.0001009702682495,0.6559414267539978,1076.6392822265625,inf
3000,0.062120649963617325,11.971348762512207,0.6817626357078552,,12.067023277282715,0.0010362330575932738,0.010356437310683876,1.946126103401184,1.9992337226867676,29.223346710205078,1.0280766487121582,75.15291595458984,182.13047790527344,1.0445375442504883,3684.7119140625,76.1729507446289,183.17649841308594,1.1304806470870972,333.0849304199219,78.78901672363281,183.32522583007812,1.2389321327209473,11090.9501953125,1.0000059604644775,1.0000799894332886,0.6557499170303345,1337.346923828125,inf
3500,0.06210293620824814,11.972434997558594,0.6908847689628601,,12.068181037902832,0.000618353961822141,0.00617639229766675,1.9633036851882935,1.9996507167816162,29.242168426513672,1.0188690423965454,74.28954315185547,182.06553649902344,1.0605392456054688,1957.1978759765625,75.5565414428711,183.0741729736328,1.1436519622802734,1063.4229736328125,78.82044982910156,183.1378173828125,1.247026801109314,38647.15625,1.0000054836273193,1.0000733137130737,0.654312252998352,1445.5513916015625,inf
4000,0.06209428980946541,11.973162651062012,0.6991231441497803,,12.069347381591797,0.0002868254665407142,0.0028601124277275675,1.963468074798584,1.999653935432434,29.165477752685547,1.018782138824463,74.50721740722656,182.14195251464844,1.0619632005691528,1476.70947265625,74.61686706542969,183.05418395996094,1.15354585647583,8053.02734375,78.52672576904297,183.03594970703125,1.2521640062332153,34220.95703125,1.0000027418136597,1.0000391006469727,0.6529446244239807,1828.216064453125,inf
4500,0.06209078058600426,11.9738187789917,0.7051085829734802,,12.070050239562988,7.409989076198911e-05,0.00073221828041645,1.9628620147705078,1.999642014503479,29.15662956237793,1.019102692604065,74.57978820800781,182.13327026367188,1.0618994235992432,2778.102783203125,74.66007995605469,183.04473876953125,1.153853178024292,9398.44140625,78.5617446899414,183.05409240722656,1.2520705461502075,12962.8193359375,1.000001072883606,1.0000170469284058,0.6517090201377869,2459.079345703125,inf
4999,0.062008585780858994,11.974047660827637,0.7067060470581055,,12.075811386108398,1e-06,1e-06,1.9631259441375732,1.9996471405029297,29.153818130493164,1.018963098526001,74.61015319824219,182.13031005859375,1.0616835355758667,4814.15283203125,74.68944549560547,183.0527801513672,1.1536328792572021,17244.037109375,78.54358673095703,183.0539093017578,1.2522298097610474,112177.8515625,1.0000004768371582,1.0000072717666626,0.6512722373008728,4240.91650390625,inf
