epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.43810397386550903,6.118712902069092,0.5403410792350769,,6.1439056396484375,0.002999999704010574,0.02999999703921747,1.8579224348068237,1.994154930114746,5.217366695404053,1.0796326398849487,76.38623809814453,182.27801513671875,0.07030373811721802,250.7313232421875,77.62242889404297,182.57534790039062,0.06973888725042343,19601.076171875,77.72456359863281,181.38011169433594,0.06917009502649307,2071.547119140625,1.0032005310058594,1.0240147113800049,0.9032908082008362,25.52188491821289,4091.576929262934
500,0.004017616622149944,22.058448791503906,0.4132425785064697,,24.209802627563477,0.0029263178201258035,0.02926295708101175,1.8718960285186768,1.9953185319900513,6.440051078796387,1.0709460973739624,84.6611099243164,191.14271545410156,0.3976224660873413,630.3359375,45.0342903137207,180.81190490722656,0.7926485538482666,1921.0125732421875,63.127960205078125,189.92735290527344,1.0446263551712036,16129.1875,1.0332313776016235,1.1529488563537598,0.505303144454956,241.98304748535156,2742798.117895352
1000,0.0029301471076905727,23.130733489990234,0.47982802987098694,,25.529800415039062,0.0027130669537502256,0.027129808451334846,1.8724582195281982,1.9953621625900269,6.439701080322266,1.0706011056900024,83.25711822509766,189.3243408203125,0.3943828344345093,1046.4517822265625,46.6363525390625,174.77182006835938,0.7375440001487732,2171.255126953125,66.6022720336914,186.870849609375,1.1450883150100708,403170.71875,1.0445200204849243,1.194606900215149,0.49634096026420593,59.75497055053711,2725402.8884873367
1500,0.00202271924354136,24.019752502441406,0.5233365893363953,,27.11496353149414,0.002381121585490829,0.023809358600580043,1.8724969625473022,1.9953652620315552,6.441231727600098,1.0705773830413818,81.56077575683594,187.8796844482422,0.39439326524734497,972.7197875976562,48.687767028808594,172.33551025390625,0.6854233145713806,2637.027587890625,68.64734649658203,184.71267700195312,1.2219486236572266,21654.759765625,1.046407699584961,1.2014042139053345,0.49051016569137573,53.54848098754883,2671764.7200212954
2000,0.00143725227098912,24.555946350097656,0.5509803891181946,,28.432388305664062,0.0019629748407922155,0.01962663629507368,1.8727617263793945,1.995385766029358,6.442357540130615,1.0704149007797241,81.16889190673828,186.94259643554688,0.3916645646095276,556.7256469726562,49.66377639770508,171.45428466796875,0.6562255024909973,452.5917663574219,70.54150390625,183.62057495117188,1.2721116542816162,998662.375,1.0573734045028687,1.2375497817993164,0.48376354575157166,49.93946075439453,2608618.3465690543
2500,0.000991177512332797,24.87067985534668,0.5469446778297424,,29.783302307128906,0.0014995578364251723,0.014991075536818636,1.8728984594345093,1.9953961372375488,6.443212032318115,1.07033109664917,80.81148529052734,186.3502197265625,0.3903651237487793,4540.62939453125,49.54409408569336,171.55897521972656,0.6515464782714844,1646.9569091796875,73.40375518798828,183.58126831054688,1.2843942642211914,157421.859375,1.0652480125427246,1.2632006406784058,0.4826927185058594,40.4440803527832,2600925.4539876473
3000,0.0005826855194754899,25.2285099029541,0.5430892109870911,,32.36387252807617,0.0010362330575932738,0.010356437310683876,1.8729233741760254,1.9953982830047607,6.443498611450195,1.0703158378601074,80.68824768066406,186.07522583007812,0.38981249928474426,1889.9609375,49.92948913574219,171.46237182617188,0.649959921836853,316.55322265625,73.28374481201172,183.2433319091797,1.3045198917388916,224135.390625,1.0710057020187378,1.2828254699707031,0.48354777693748474,30.844539642333984,2636295.8118801024
3500,0.0002997782430611551,25.157562255859375,0.5093258023262024,,35.1686897277832,0.000618353961822141,0.00617639229766675,1.8729302883148193,1.995398759841919,6.443708419799805,1.070311427116394,80.5157470703125,185.96133422851562,0.3901382386684418,2270.942626953125,50.102237701416016,171.43751525878906,0.6511621475219727,599.9475708007812,73.50297546386719,182.98077392578125,1.309408187866211,73129.1171875,1.0772264003753662,1.304243803024292,0.4847765564918518,24.149658203125,2660113.5353552783
4000,0.00019109743880108,24.895492553710938,0.47256696224212646,,37.220977783203125,0.0002868254665407142,0.0028601124277275675,1.8729583024978638,1.9954009056091309,6.4436445236206055,1.0702943801879883,80.2614974975586,185.92852783203125,0.39090970158576965,11355.4599609375,50.233909606933594,171.4236297607422,0.6515658497810364,683.2461547851562,73.60762786865234,182.77603149414062,1.304235816001892,36330.4296875,1.081427812576294,1.3199338912963867,0.48649072647094727,19.845970153808594,2665857.862424492
4500,0.00011428147263359278,24.818239212036133,0.4598468244075775,,39.458106994628906,7.409989076198911e-05,0.00073221828041645,1.8729418516159058,1.9953995943069458,6.443673133850098,1.0703045129776,80.32601165771484,185.9326171875,0.3907240331172943,5660.15673828125,50.252010345458984,171.4425048828125,0.6514455080032349,884.29248046875,73.53419494628906,182.6192169189453,1.299165964126587,130057.328125,1.0842093229293823,1.3325005769729614,0.4869464933872223,16.426054000854492,2656241.5342296087
4999,3.7222624087007716e-05,24.702552795410156,0.44152402877807617,,44.29204559326172,1e-06,1e-06,1.8729408979415894,1.9953995943069458,6.443663597106934,1.0703051090240479,80.3361587524414,185.9373016357422,0.3907010853290558,8379.4482421875,50.25497055053711,171.4434814453125,0.6514467597007751,971.80322265625,73.62093353271484,182.6265411376953,1.2988016605377197,39733.80859375,1.0863337516784668,1.3430757522583008,0.4871138632297516,14.194942474365234,2656254.574855422
