Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8423250913619995,1.9926795959472656,5.235074043273926,1.0895825624465942,76.48595428466797,182.1423797607422,0.07020063698291779,2581.201904296875,77.40109252929688,182.4231414794922,0.0698205754160881,334.9194030761719,77.80323791503906,181.2583770751953,0.06911621987819672,1115.3175048828125,1.011890172958374,1.073778510093689,0.8993347883224487,16.441452026367188,inf
500,1.8413500785827637,1.9925811290740967,7.563200950622559,1.090213656425476,82.14385986328125,186.32711791992188,0.6037036180496216,972.0269775390625,68.51201629638672,195.30545043945312,0.803604006767273,494.569580078125,69.54857635498047,192.0819549560547,0.9783945679664612,15625.2939453125,1.0003728866577148,1.0033879280090332,0.4308203160762787,248.32681274414062,inf
1000,1.8580080270767212,1.9941625595092773,11.917884826660156,1.0795787572860718,80.18551635742188,183.66384887695312,0.7705261707305908,3819.94482421875,79.13387298583984,188.3903045654297,0.8837049007415771,2105.31396484375,77.03431701660156,188.06161499023438,1.0461492538452148,22215.4296875,1.0002977848052979,1.0027847290039062,0.44512882828712463,240.59408569335938,inf
1500,1.9298912286758423,1.998680591583252,19.647319793701172,1.0370123386383057,78.07182312011719,183.27102661132812,0.8919849395751953,661.77294921875,78.08733367919922,186.20347595214844,0.9914053082466125,4587.04541015625,75.74128723144531,185.27281188964844,1.1446231603622437,13281.7412109375,1.0002126693725586,1.002079725265503,0.46405547857284546,220.97207641601562,inf
2000,1.913394808769226,1.997951626777649,22.692302703857422,1.0463348627090454,75.66450500488281,182.4068603515625,0.9817408323287964,25913.29296875,78.4610366821289,184.8295135498047,1.058722972869873,838.5280151367188,77.7093734741211,184.3065643310547,1.1901205778121948,12290.70703125,1.000187873840332,1.0018662214279175,0.47568008303642273,220.477294921875,inf
2500,1.8163319826126099,1.9897832870483398,25.237993240356445,1.1067935228347778,74.631591796875,181.95115661621094,1.0340386629104614,3211.161376953125,77.48735046386719,184.22897338867188,1.1059612035751343,363.0485534667969,75.92992401123047,183.44729614257812,1.2423884868621826,46624.01953125,1.0001723766326904,1.0017279386520386,0.48013269901275635,228.23240661621094,inf
3000,1.8003123998641968,1.9877097606658936,25.944364547729492,1.1178157329559326,74.73908996582031,181.80484008789062,1.0558586120605469,6102.13916015625,78.19021606445312,184.11737060546875,1.1231532096862793,668.7977294921875,76.84490966796875,183.4583282470703,1.2559963464736938,21779.9921875,1.0001648664474487,1.001660943031311,0.48544424772262573,230.1434783935547,inf
3500,1.8074815273284912,1.9886659383773804,26.096128463745117,1.1128424406051636,74.89631652832031,181.96556091308594,1.064566969871521,5767.73486328125,77.77559661865234,184.07716369628906,1.1350488662719727,1775.0091552734375,77.09891510009766,183.39324951171875,1.262863039970398,10771.0390625,1.0001003742218018,1.001061201095581,0.4894459545612335,288.81817626953125,inf
4000,1.8057507276535034,1.9884392023086548,26.131559371948242,1.114037036895752,75.13967895507812,181.94854736328125,1.0661758184432983,1070.1221923828125,78.1397933959961,183.97930908203125,1.135018229484558,1503.9305419921875,77.33346557617188,183.37306213378906,1.263353705406189,17902.080078125,1.0000666379928589,1.000732183456421,0.4899331331253052,348.48388671875,inf
4500,1.805726408958435,1.988435983657837,26.16815757751465,1.1140538454055786,75.15444946289062,181.94300842285156,1.0665476322174072,4576.080078125,78.23564147949219,184.02554321289062,1.1346997022628784,2976.1484375,77.3461685180664,183.3728790283203,1.263730764389038,20307.087890625,1.0000325441360474,1.0003794431686401,0.4893404543399811,566.9086303710938,inf
4999,1.8055931329727173,1.988418459892273,26.168859481811523,1.114146113395691,75.14190673828125,181.94264221191406,1.0666285753250122,2234.86865234375,78.28431701660156,184.02537536621094,1.1343704462051392,2810.767333984375,77.31432342529297,183.37060546875,1.2640193700790405,31499.119140625,1.0000146627426147,1.0001808404922485,0.48900654911994934,1271.0985107421875,inf
