Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8823206424713135,1.9960929155349731,7.337747573852539,1.0646008253097534,77.88419342041016,182.54913330078125,1.1332486867904663,1009.4287719726562,76.52411651611328,182.2074432373047,1.145153284072876,3821.201904296875,75.48849487304688,181.2827606201172,1.1517590284347534,587.2127075195312,1.8435791730880737,2.732426404953003,0.916138231754303,1.6066216230392456,10.04787555045223
500,1.813902497291565,1.9894834756851196,17.915714263916016,1.1084442138671875,71.67841339111328,175.5328369140625,1.6251739263534546,1014.380126953125,69.15910339355469,173.2694854736328,1.6084014177322388,181003.609375,61.89287567138672,171.50341796875,1.5170032978057861,2933.257080078125,1.445855975151062,2.129542827606201,10.533130645751953,3.686668872833252,748.2942644079806
1000,1.8363912105560303,1.9920676946640015,20.091312408447266,1.0934408903121948,70.55049133300781,165.21897888183594,2.367994785308838,3867.31494140625,66.01683807373047,160.54139709472656,2.3567585945129395,1373.4371337890625,50.76663589477539,148.2752227783203,2.11291766166687,36193.45703125,1.5478379726409912,2.324352502822876,12.19157600402832,2.7784035205841064,2888.3284079366576
1500,1.8431265354156494,1.992760181427002,21.074256896972656,1.089064598083496,67.20537567138672,157.804443359375,3.046302556991577,4974.7626953125,65.98518371582031,153.48294067382812,2.9563357830047607,10047.5029296875,45.49030303955078,134.64244079589844,2.658508539199829,886.2962036132812,1.6220204830169678,2.4038801193237305,13.202279090881348,2.588057518005371,6661.4079932240975
2000,1.843625545501709,1.9928100109100342,21.647666931152344,1.0887424945831299,64.94949340820312,152.63296508789062,3.5758090019226074,4506.98876953125,64.44720458984375,148.93890380859375,3.4463133811950684,1134.6630859375,43.98697280883789,127.20208740234375,3.0440261363983154,708.1273803710938,1.629843831062317,2.4404401779174805,13.941204071044922,2.4290287494659424,11321.105522591135
2500,1.84370756149292,1.9928181171417236,22.002811431884766,1.0886894464492798,63.926177978515625,149.66378784179688,3.9601190090179443,3996.807861328125,62.45477294921875,145.9044647216797,3.8426268100738525,1180.245849609375,43.13954162597656,122.54570770263672,3.343567371368408,1988.5765380859375,1.5966389179229736,2.432285785675049,14.771723747253418,2.367711305618286,16536.967708677104
3000,1.8438169956207275,1.9928290843963623,22.224382400512695,1.0886187553405762,63.2022590637207,147.7887420654297,4.239566326141357,2522.387939453125,60.759361267089844,143.80567932128906,4.148870468139648,7046.15087890625,42.43998336791992,119.6561508178711,3.5853543281555176,1867.4044189453125,1.552392840385437,2.399387836456299,15.722611427307129,2.3622288703918457,22036.2542354659
3500,1.843917965888977,1.992838978767395,22.363428115844727,1.0885536670684814,62.981815338134766,146.69654846191406,4.420375823974609,1398.733642578125,59.815311431884766,142.50570678710938,4.360452651977539,844.93896484375,42.142738342285156,117.83189392089844,3.7616751194000244,2280.685791015625,1.5069242715835571,2.3592991828918457,17.002561569213867,2.341866970062256,27569.239653412962
4000,1.8441671133041382,1.9928640127182007,22.444412231445312,1.0883930921554565,62.844635009765625,146.13633728027344,4.5277204513549805,654.08447265625,59.457618713378906,141.84193420410156,4.4855804443359375,1549.9261474609375,42.012596130371094,116.82882690429688,3.875455617904663,1702.8121337890625,1.47359299659729,2.3177685737609863,18.07623291015625,2.3714218139648438,31932.813723071788
4500,1.8441252708435059,1.9928597211837769,22.480363845825195,1.0884201526641846,62.8330078125,145.97335815429688,4.572658061981201,707.593017578125,59.46024703979492,141.6569366455078,4.534061431884766,16484.369140625,42.03529357910156,116.46317291259766,3.9252891540527344,1410.05224609375,1.4577332735061646,2.2963340282440186,18.585588455200195,2.3867926597595215,34002.23254406113
4999,1.844103217124939,1.992857575416565,22.486814498901367,1.0884342193603516,62.851261138916016,145.96788024902344,4.579375743865967,739.4983520507812,59.4769172668457,141.64532470703125,4.541566848754883,47825.8203125,42.05800247192383,116.42357635498047,3.9327285289764404,1287.0272216796875,1.4547358751296997,2.2920942306518555,18.67947006225586,2.390376567840576,34355.67198183009
