epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,11.019648551940918,0.35316553711891174,,11.17165756225586,0.0
500,16.860177993774414,0.41987165808677673,,17.46792984008789,0.0
1000,18.552215576171875,0.43804386258125305,,19.506816864013672,0.0
1500,19.458282470703125,0.45199155807495117,,20.70148468017578,0.0
2000,20.110355377197266,0.4696228802204132,,21.648588180541992,0.0
2500,20.69624137878418,0.48366668820381165,,22.419666290283203,0.0
3000,21.019392013549805,0.4916175901889801,,22.92684555053711,0.0
3500,21.374710083007812,0.5030851364135742,,23.502391815185547,0.0
4000,21.558727264404297,0.5094726085662842,,23.825111389160156,0.0
4500,21.64208984375,0.5118076205253601,,23.965883255004883,0.0
4999,21.65583610534668,0.5122930407524109,,23.990692138671875,0.0
