epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.12570425868034363,9.774325370788574,0.11758943647146225,,9.857856750488281,0.002999999704010574,0.02999999703921747,1.8513197898864746,1.993553638458252,5.207705497741699,1.0838111639022827,76.3629150390625,182.12979125976562,0.07031220197677612,2161.297607421875,77.16963958740234,182.4559326171875,0.06996163725852966,315.4429931640625,77.56034851074219,181.47769165039062,0.0692407563328743,1681.092529296875,1.0086669921875,1.0563889741897583,0.9006854295730591,18.799667358398438,inf
500,0.03171134740114212,14.731389999389648,0.27864035964012146,,14.987654685974121,0.0029263178201258035,0.02926295708101175,1.9291993379592896,1.9986532926559448,7.710052967071533,1.0373984575271606,91.79069519042969,198.9815216064453,0.6721131205558777,1785.738037109375,98.98970031738281,219.68576049804688,0.7919561266899109,179.1109161376953,101.9171371459961,218.0640869140625,1.0376750230789185,2494.6337890625,1.0005638599395752,1.0048478841781616,0.2862117290496826,293.3009033203125,inf
1000,0.03170769661664963,14.731549263000488,0.2787003517150879,,14.987226486206055,0.0027130669537502256,0.027129808451334846,1.8352279663085938,1.991944432258606,13.758890151977539,1.094201922416687,84.65528106689453,189.06118774414062,0.8750768899917603,1212.8839111328125,90.20248413085938,199.16159057617188,0.9718315601348877,643.9951171875,93.8487548828125,203.9564208984375,1.2013341188430786,17089.55859375,1.0001050233840942,1.0011037588119507,0.30667629837989807,291.5101318359375,inf
1500,0.03171190619468689,14.731903076171875,0.2792399227619171,,14.987613677978516,0.002381121585490829,0.023809358600580043,1.8535957336425781,1.993764877319336,19.966358184814453,1.0823653936386108,82.5578384399414,186.2420196533203,1.0103394985198975,499.3775939941406,84.3949203491211,192.9339141845703,1.1121668815612793,1149.132080078125,90.15143585205078,197.49781799316406,1.317300796508789,5219.79150390625,1.0000524520874023,1.0005985498428345,0.31751734018325806,277.0899658203125,inf
2000,0.031707994639873505,14.731975555419922,0.27904221415519714,,14.988012313842773,0.0019629748407922155,0.01962663629507368,1.8632481098175049,1.9946157932281494,24.381267547607422,1.0762970447540283,80.68635559082031,185.19483947753906,1.1042879819869995,436.3452453613281,81.65923309326172,190.28524780273438,1.2062745094299316,32216.65625,88.96062469482422,194.6078643798828,1.3877063989639282,4615.24658203125,1.0000646114349365,1.0007224082946777,0.30994927883148193,262.1652526855469,inf
2500,0.03170434758067131,14.732097625732422,0.27953633666038513,,14.988496780395508,0.0014995578364251723,0.014991075536818636,1.859259843826294,1.9942728281021118,26.587583541870117,1.0787920951843262,80.93232727050781,184.501953125,1.152946949005127,917.0885009765625,79.6102523803711,188.88961791992188,1.2675753831863403,316.0007019042969,86.63014221191406,193.15870666503906,1.4442425966262817,2961.03369140625,1.000074863433838,1.0008240938186646,0.3020046353340149,256.50885009765625,inf
3000,0.031706444919109344,14.732427597045898,0.2798716425895691,,14.988515853881836,0.0010362330575932738,0.010356437310683876,1.9031968116760254,1.9974135160446167,27.1031436920166,1.0522254705429077,79.94781494140625,184.2942657470703,1.1860812902450562,701.5435180664062,79.56990814208984,188.26315307617188,1.2924389839172363,697.0927734375,85.62641143798828,192.4398651123047,1.4734935760498047,23611.02734375,1.000057578086853,1.0006518363952637,0.29649946093559265,260.5386657714844,inf
3500,0.03169820085167885,14.7330322265625,0.28065890073776245,,14.989619255065918,0.000618353961822141,0.00617639229766675,1.8815668821334839,1.9960393905639648,27.279916763305664,1.0650558471679688,79.31293487548828,184.1962127685547,1.202292561531067,5772.0625,79.06615447998047,188.04637145996094,1.3074543476104736,539.2788696289062,85.64791107177734,192.10780334472656,1.4824663400650024,7479.2236328125,1.000049352645874,1.0005649328231812,0.29291313886642456,308.17852783203125,inf
4000,0.03169841319322586,14.733428955078125,0.2810969352722168,,14.989724159240723,0.0002868254665407142,0.0028601124277275675,1.8936253786087036,1.9968452453613281,27.200353622436523,1.0578455924987793,79.86226654052734,184.18382263183594,1.2018641233444214,2532.086181640625,79.30026245117188,187.96946716308594,1.3088241815567017,353.8529357910156,85.04215240478516,191.96127319335938,1.4907809495925903,7588.5380859375,1.00002920627594,1.0003492832183838,0.29176121950149536,393.5641784667969,inf
4500,0.03169478103518486,14.733782768249512,0.28170111775398254,,14.990262985229492,7.409989076198911e-05,0.00073221828041645,1.8993542194366455,1.9971928596496582,27.15865135192871,1.0544710159301758,79.80964660644531,184.1870880126953,1.2029484510421753,3189.6796875,79.26570892333984,187.9041290283203,1.3095848560333252,544.4573974609375,85.03256225585938,191.96348571777344,1.4914140701293945,23804.1171875,1.000009536743164,1.000124454498291,0.2909736931324005,684.4902954101562,inf
4999,0.03167742118239403,14.733949661254883,0.2818904221057892,,14.992670059204102,1e-06,1e-06,1.89939284324646,1.9971951246261597,27.152345657348633,1.0544483661651611,79.79132080078125,184.18409729003906,1.203150987625122,2362.95703125,79.2752914428711,187.9028778076172,1.3095037937164307,500.9230651855469,85.02918243408203,191.9617462158203,1.4914605617523193,30755.099609375,1.000001311302185,1.000020146369934,0.29073551297187805,1659.66162109375,inf
