epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,10.975126266479492,0.030431797727942467,,11.201897621154785,0.0
500,22.678071975708008,0.5174500346183777,,29.251567840576172,0.0
1000,22.974834442138672,0.5341255068778992,,30.5660400390625,0.0
1500,23.370830535888672,0.5549760460853577,,31.874225616455078,0.0
2000,23.115633010864258,0.5438446998596191,,33.04631805419922,0.0
2500,23.579214096069336,0.5732131600379944,,34.70158386230469,0.0
3000,23.653783798217773,0.5751302242279053,,38.3934326171875,0.0
3500,23.64779281616211,0.5720550417900085,,40.28606033325195,0.0
4000,23.60044288635254,0.5639674067497253,,41.81095504760742,0.0
4500,23.564247131347656,0.5580794811248779,,42.256282806396484,0.0
4999,23.556787490844727,0.5568817257881165,,42.32756042480469,0.0
