epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,6.163873195648193,0.11056011915206909,,6.259862899780273,0.0
500,13.118143081665039,0.32082411646842957,,13.629426956176758,0.0
1000,13.118635177612305,0.322664737701416,,13.629430770874023,0.0
1500,13.119526863098145,0.3244239389896393,,13.632292747497559,0.0
2000,13.120426177978516,0.32626405358314514,,13.632282257080078,0.0
2500,13.120956420898438,0.3277699053287506,,13.632328033447266,0.0
3000,13.121670722961426,0.3300090730190277,,13.63395881652832,0.0
3500,13.122697830200195,0.3326667547225952,,13.635171890258789,0.0
4000,13.123462677001953,0.3344842195510864,,13.63578987121582,0.0
4500,13.124028205871582,0.3361886739730835,,13.63635540008545,0.0
4999,13.12425422668457,0.3365989625453949,,13.638530731201172,0.0
