epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,6.538789749145508,0.4132317006587982,,6.561866283416748,0.0
500,14.81311321258545,0.5884146690368652,,14.962321281433105,0.0
1000,14.816404342651367,0.6011679768562317,,14.964190483093262,0.0
1500,14.81663703918457,0.6031844615936279,,14.965128898620605,0.0
2000,14.81734848022461,0.6059091091156006,,14.965360641479492,0.0
2500,14.81758975982666,0.6069890856742859,,14.965977668762207,0.0
3000,14.818358421325684,0.6099111437797546,,14.966326713562012,0.0
3500,14.819160461425781,0.6136870384216309,,14.96796989440918,0.0
4000,14.819791793823242,0.6162809133529663,,14.96825122833252,0.0
4500,14.82024097442627,0.618303120136261,,14.968521118164062,0.0
4999,14.817076683044434,0.6052889227867126,,15.13846206665039,0.0
