epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,13.659244537353516,0.4597986042499542,,13.961336135864258,0.0
500,17.58371353149414,0.5062282085418701,,18.380508422851562,0.0
1000,19.143299102783203,0.5288405418395996,,20.31355094909668,0.0
1500,20.271780014038086,0.5429770350456238,,21.891944885253906,0.0
2000,20.80451011657715,0.5509013533592224,,22.698089599609375,0.0
2500,21.30646514892578,0.5601525902748108,,23.491561889648438,0.0
3000,21.66679573059082,0.5659692883491516,,24.10080337524414,0.0
3500,21.888965606689453,0.5707588195800781,,24.500112533569336,0.0
4000,22.04973602294922,0.5738071203231812,,24.805362701416016,0.0
4500,22.124134063720703,0.5755742192268372,,24.946182250976562,0.0
4999,22.137174606323242,0.5759193301200867,,24.971988677978516,0.0
